BidangUsaha,JumlahAset,Lokasi,MataUang,Nama,Persentase,Satuan,StatusOperasi,TahunKomersil,KodeEmiten,NamaEmiten
PENGEMBANGAN SOFTWARE,1268959209,JAKARTA,IDR,PT AKASIA CODE DIGITAL,50.0,PENUH,AKTIF,2022,ABBA,MAHAKA MEDIA TBK
PERDAGANGAN PERALATAN KOMUNIKASI,1183732288,JAKARTA,IDR,PT AKASIA DAMCORP WABA,50.0,PENUH,AKTIF,2022,ABBA,MAHAKA MEDIA TBK
PENGEMBANGAN SOFTWARE,2418959811,JAKARTA,IDR,PT ARCHYTECT TEKNOLOGI INDONESIA,70.0,PENUH,AKTIF,2022,ABBA,MAHAKA MEDIA TBK
PENYIARAN TELEVISI,5746289504,JAKARTA,IDR,PT DANAPATI ABINAYA INVESTAMA,50.0,PENUH,AKTIF,2005,ABBA,MAHAKA MEDIA TBK
PENGELOLAAN GEDUNG,30555528993,JAKARTA,IDR,PT GAMMA INVESTA LESTARI,99.98,PENUH,AKTIF,2006,ABBA,MAHAKA MEDIA TBK
EVENT ORGANIZER,20593960324,JAKARTA,IDR,PT KALYANAMITRA ADHARA MAHARDHIKA,80.0,PENUH,AKTIF,2007,ABBA,MAHAKA MEDIA TBK
KONTEN KREATIF AGENSI,4175365304,JAKARTA,IDR,PT KREATIF INTEL TEKNOLOGI,97.0,PENUH,AKTIF,2022,ABBA,MAHAKA MEDIA TBK
PENERBITAN PERS,20788859063,JAKARTA,IDR,PT REPUBLIKA MEDIA MANDIRI,95.64,PENUH,AKTIF,2004,ABBA,MAHAKA MEDIA TBK
REPARASI KENDARAAN,4601819,TANGERANG,IDR,PT ALTRA RAYA,99.0,RIBUAN,BEROPERASI,2014,ABDA,ASURANSI BINA DANA ARTA TBK
PERDAGANGAN/TRADING,20434574,JAKARTA,USD,PT AGATA NUGRAHA NASTARI,99.99,PENUH,OPERASI,2020,ABMM,ABM INVESTAMA TBK
TRANSPORTASI LAUT/SEA TRANSPORTATION,7691460,JAKARTA,USD,PT ALFA TRANS RAYA,99.99,PENUH,OPERASI,2007,ABMM,ABM INVESTAMA TBK
INDUSTRI PEMBANGKIT LISTRIK ENERGI YANG TERBARUKAN/RENEWABLE ENERGY IPP,982154,JAKARTA,USD,PT ANDARA CANDRIA ENERGI,99.12,PENUH,TIDAK DIKETAHUI,0,ABMM,ABM INVESTAMA TBK
INDUSTRI PEMBANGKIT LISTRIK ENERGI THERMAL/THERMAL ENERGY IPP,1931782,JAKARTA,USD,PT ANZARA JANITRA NUSANTARA,99.99,PENUH,TIDAK DIKETAHUI,0,ABMM,ABM INVESTAMA TBK
TRANSPORTASI LAUT DOMESTIK/DOMESTIC SEA TRANSPORTATION,35991893,JAKARTA,USD,PT BARUNA DIRGA DHARMA,99.99,PENUH,OPERASI,2011,ABMM,ABM INVESTAMA TBK
JASA LOGISTIK/LOGISTIC SERVICES,166678311,JAKARTA,USD,PT CIPTA KRIDA BAHARI,99.99,PENUH,OPERASI,1997,ABMM,ABM INVESTAMA TBK
KONTRAKTOR PERTAMBANGAN/MINING CONTRACTOR,1030928612,JAKARTA,USD,PT CIPTA KRIDATAMA,99.99,PENUH,OPERASI,1999,ABMM,ABM INVESTAMA TBK
BONGKAR MUAT BARANG DAN PELAYANAN KEPELABUHAN LAUT/STEVEDORING AND SEA PORT SERVICES,7884619,JAKARTA,USD,PT DIANTA DAYA EMBARA,99.99,PENUH,OPERASI,2017,ABMM,ABM INVESTAMA TBK
INDUSTRI PEMBANGKIT LISTRIK ENERGI YANG TERBARUKAN/RENEWABLE ENERGY IPP,3192534,JAKARTA,USD,PT NAGATA BIO ENERGI,98.42,PENUH,OPERASI,2020,ABMM,ABM INVESTAMA TBK
INDUSTRI PEMBANGKIT LISTRIK ENERGI YANG TERBARUKAN/RENEWABLE ENERGY IPP,5856,JAKARTA,USD,PT NAGATA BIOGAS DWIENERGI,98.32,PENUH,TIDAK DIKETAHUI,0,ABMM,ABM INVESTAMA TBK
INDUSTRI PEMBANGKIT LISTRIK ENERGI YANG TERBARUKAN/RENEWABLE ENERGY IPP,3491981,JAKARTA,USD,PT NAGATA DINAMIKA,99.51,PENUH,TIDAK DIKETAHUI,0,ABMM,ABM INVESTAMA TBK
INDUSTRI PEMBANGKIT LISTRIK ENERGI YANG TERBARUKAN/RENEWABLE ENERGY IPP,30009,JAKARTA,USD,PT NAGATA DINAMIKA HIDRO BUAKAYU ULU,98.51,PENUH,TIDAK DIKETAHUI,0,ABMM,ABM INVESTAMA TBK
