Jumlah,Kategori,Nama,Pengendali,Persentase,KodeEmiten,NamaEmiten
593387750.0,More Than 5%,DBS BANK LTD,False,9.67,BINA,PT BANK INA PERDANA TBK
1949465800.0,More Than 5%,RUHONG HOLDING PTE LTD,True,85.68,BINO,PT PERMA PLASINDO TBK
174000000.0,More Than 5%,PT INTAN PARIWARA,False,7.65,BINO,PT PERMA PLASINDO TBK
3345072195.0,More Than 5%,SAFIRE CAPITAL PTE LTD,True,66.52,BIPP,BHUWANATALA INDAH PERMAI TBK
326725000.0,More Than 5%,PT VICTORIA INVESTAMA TBK,False,6.5,BIPP,BHUWANATALA INDAH PERMAI TBK
709857979.0,More Than 5%,PT PUSAKA CITRA DJOKOSOETONO,True,28.4,BIRD,PT BLUE BIRD TBK
46401800.0,More Than 5%,PT PURNOMO INVESTAMA,True,1.9,BIRD,PT BLUE BIRD TBK
39450000.0,More Than 5%,PT CHANDRA INVESTAMA,True,1.6,BIRD,PT BLUE BIRD TBK
930000000.0,More Than 5%,PT AGRINDO PRATAMA,True,31.0,BISI,BISI INTERNATIONAL TBK
190687500.0,More Than 5%,FIELD INVESTMENT HOLDINGS PTE LTD,True,6.36,BISI,BISI INTERNATIONAL TBK
190687500.0,More Than 5%,VALLEY INVESTMENT HOLDINGS PTE LTD,True,6.36,BISI,BISI INTERNATIONAL TBK
190687500.0,More Than 5%,VISTA INVESTMENT HOLDINGS PTE LTD,True,6.36,BISI,BISI INTERNATIONAL TBK
184189100.0,More Than 5%,UBS AG,False,6.14,BISI,BISI INTERNATIONAL TBK
152683500.0,More Than 5%,UNITED OVERSEAS BANK NOMINEES PRIVATE LIMITED,False,5.09,BISI,BISI INTERNATIONAL TBK
122250000.0,More Than 5%,SJ BISI HOLDINGS PTE LTD,True,4.08,BISI,BISI INTERNATIONAL TBK
4053172595.0,More Than 5%,PEMERINTAH DAERAH PROVINSI JAWA BARAT,True,38.52,BJBR,BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK
3133499547.0,More Than 5%,PEMERINTAH DAERAH SE JAWA BARAT DAN BANTEN,False,29.78,BJBR,BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK
761921189.0,More Than 5%,PEMERINTAH DAERAH KABUPATEN BANDUNG,False,7.24,BJBR,BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK
7676913648.0,More Than 5%,PEMERINTAH DAERAH TINGKAT I PROVINSI JAWA TIMUR,True,51.1266,BJTM,BANK PEMBANGUNAN DAERAH JAWA TIMUR TBK
134835213825.0,More Than 5%,PT SAKTI GENERASI PERDANA,True,80.4,BKSL,SENTUL CITY TBK
32195726062.0,More Than 5%,QATAR NATIONAL BANK QPSC,True,91.57,BKSW,PT BANK QNB INDONESIA TBK
