kodeEmiten,NamaEmiten,field,year,contextRef,id,name,NamaPemilik,AlamatPemilik
ADMR,PT ALAMTRI MINERALS INDONESIA TBK,idx-cor:PartyName,2024,CurrentYearDuration_1616000_RelatedParty1Member,IXF1616000E02_1378_00012_00_0001,PT FILAMENDO SAKTI,SHANTOU MARIA INVESTMENT CO LTD,"Jl. Hayam Wuruk Nomor 8 Lt. 14, Jakarta Pusat, Provinsi Dki Jakarta"
ADMR,PT ALAMTRI MINERALS INDONESIA TBK,idx-cor:PartyName,2023,PriorYearDuration_1616000_RelatedParty1Member,IXF1616000E02_1378_00036_00_0001,PT FILAMENDO SAKTI,SHANTOU MARIA INVESTMENT CO LTD,"Jl. Hayam Wuruk Nomor 8 Lt. 14, Jakarta Pusat, Provinsi Dki Jakarta"
ADMR,PT ALAMTRI MINERALS INDONESIA TBK,idx-cor:CounterpartyName,2023,PriorEndYearDuration_1620300_Rank2CounterpartyMember_RelatedPartyMember,IXF1620300E02_1368_00092_00_0001,PT FILAMENDO SAKTI,SHANTOU MARIA INVESTMENT CO LTD,"Jl. Hayam Wuruk Nomor 8 Lt. 14, Jakarta Pusat, Provinsi Dki Jakarta"
ADMR,PT ALAMTRI MINERALS INDONESIA TBK,idx-cor:CounterpartyNameTradePayable,2024,CurrentYearDuration_1640300_Rank1CounterpartyMember_ThirdPartyMember,IXF1640300E02_1451_00043_00_0001,PT ECOGREEN OLEOCHEMICALS,SHANTOU MARIA INVESTMENT CO LTD,"Jl.raya Pelabuhan Kabil.kav.no.1, Nongsa - Kabil, Kota Batam, Provinsi Kepulauan Riau"
ADMR,PT ALAMTRI MINERALS INDONESIA TBK,idx-cor:CounterpartyNameTradePayable,2023,PriorEndYearDuration_1640300_Rank1CounterpartyMember_ThirdPartyMember,IXF1640300E02_1451_00087_00_0001,PT ECOGREEN OLEOCHEMICALS,SHANTOU MARIA INVESTMENT CO LTD,"Jl.raya Pelabuhan Kabil.kav.no.1, Nongsa - Kabil, Kota Batam, Provinsi Kepulauan Riau"
ADMR,PT ALAMTRI MINERALS INDONESIA TBK,idx-cor:CounterpartyNameTradePayable,2023,PriorEndYearDuration_1640300_Rank3CounterpartyMember_ThirdPartyMember,IXF1640300E02_1451_00091_00_0001,PT RHEEM INDONESIA,PT GESIT ALUMAS,"Jl.pulogadung No.33 Kawasan Industri Pulogadung,jakarta Timur, Jakarta Timur, Provinsi Dki Jakarta"
AISA,PT FKS FOOD SEJAHTERA TBK,idx-cor:PartyName,2024,CurrentYearDuration_1616000_RelatedParty1Member,IXF1616000E02_1378_00012_00_0001,PT FKS PANGAN NUSANTARA,FKS MULTI AGRO TBK,"Menara Astra, Lt. 28, Jl. Jend. Sudirman Kav. 5-6 , RT 10, RW 11, Kelurahan/Desa Karet Tengsin, Kecamatan Tanah Abang, Jakarta Pusat, Provinsi Dki Jakarta"
AISA,PT FKS FOOD SEJAHTERA TBK,idx-cor:PartyName,2023,PriorYearDuration_1616000_RelatedParty1Member,IXF1616000E02_1378_00036_00_0001,PT FKS PANGAN NUSANTARA,FKS MULTI AGRO TBK,"Menara Astra, Lt. 28, Jl. Jend. Sudirman Kav. 5-6 , RT 10, RW 11, Kelurahan/Desa Karet Tengsin, Kecamatan Tanah Abang, Jakarta Pusat, Provinsi Dki Jakarta"
AISA,PT FKS FOOD SEJAHTERA TBK,idx-cor:CounterpartyName,2024,CurrentYearDuration_1620300_Rank1CounterpartyMember_RelatedPartyMember,IXF1620300E02_1368_00044_00_0001,PT FKS PANGAN NUSANTARA,FKS MULTI AGRO TBK,"Menara Astra, Lt. 28, Jl. Jend. Sudirman Kav. 5-6 , RT 10, RW 11, Kelurahan/Desa Karet Tengsin, Kecamatan Tanah Abang, Jakarta Pusat, Provinsi Dki Jakarta"
AISA,PT FKS FOOD SEJAHTERA TBK,idx-cor:CounterpartyName,2023,PriorEndYearDuration_1620300_Rank1CounterpartyMember_RelatedPartyMember,IXF1620300E02_1368_00090_00_0001,PT FKS PANGAN NUSANTARA,FKS MULTI AGRO TBK,"Menara Astra, Lt. 28, Jl. Jend. Sudirman Kav. 5-6 , RT 10, RW 11, Kelurahan/Desa Karet Tengsin, Kecamatan Tanah Abang, Jakarta Pusat, Provinsi Dki Jakarta"
AISA,PT FKS FOOD SEJAHTERA TBK,idx-cor:CounterpartyNameTradePayable,2024,CurrentYearDuration_1640300_Rank4CounterpartyMember_RelatedPartyMember,IXF1640300E02_1451_00048_00_0001,PT FKS PANGAN NUSANTARA,FKS MULTI AGRO TBK,"Menara Astra, Lt. 28, Jl. Jend. Sudirman Kav. 5-6 , RT 10, RW 11, Kelurahan/Desa Karet Tengsin, Kecamatan Tanah Abang, Jakarta Pusat, Provinsi Dki Jakarta"
AISA,PT FKS FOOD SEJAHTERA TBK,idx-cor:CounterpartyNameTradePayable,2024,CurrentYearDuration_1640300_Rank5CounterpartyMember_RelatedPartyMember,IXF1640300E02_1451_00050_00_0001,PT PADI FLOUR NUSANTARA,PT FKS FOOD AND INGREDIENTS,"Menara Astra, Lt. 27, Jl. Jend. Sudirman Kav. 5-6, RT 10, RW 11, Kelurahan/Desa Karet Tengsin, Kecamatan Tanah Abang, Jakarta Pusat, Provinsi Dki Jakarta"
AISA,PT FKS FOOD SEJAHTERA TBK,idx-cor:CounterpartyNameTradePayable,2023,PriorEndYearDuration_1640300_Rank8CounterpartyMember_ThirdPartyMember,IXF1640300E02_1451_00101_00_0001,SRIBOGA FLOUR MILL,PT SRIBOGA RATURAYA,"Gedung Daniprisma Plaza Lt.3 Jl. Sultan Hasanuddin No.47-48, Melawai, Jakarta Selatan, Provinsi Dki Jakarta"
AISA,PT FKS FOOD SEJAHTERA TBK,idx-cor:CounterpartyNameTradePayable,2023,PriorEndYearDuration_1640300_Rank4CounterpartyMember_RelatedPartyMember,IXF1640300E02_1451_00092_00_0001,PT FKS PANGAN NUSANTARA,FKS MULTI AGRO TBK,"Menara Astra, Lt. 28, Jl. Jend. Sudirman Kav. 5-6 , RT 10, RW 11, Kelurahan/Desa Karet Tengsin, Kecamatan Tanah Abang, Jakarta Pusat, Provinsi Dki Jakarta"
AKSI,PT MINERAL SUMBERDAYA MANDIRI TBK,idx-cor:CounterpartyNameTradePayable,2024,CurrentYearDuration_1640300_Rank1CounterpartyMember_ThirdPartyMember,IXF1640300E02_1451_00043_00_0001,PT RASITA KERINA MULIA,PT KARISMA LANGIT KHATULISTIWA,"Perumahan Graha Padma Jl. Padma Boulevard B5 No. 12 Lantai 1 - Kota Semarang, RT 002, RW 004, Kelurahan/Desa Tambakharjo, Kota Semarang, Provinsi Jawa Tengah"
