Nama,Closeness
PT SEMBADA SARANA TRANSPORTASI,1.0
YOU FEIYU,1.0
PT HUA CHIN ALUMINUM INDONESIA,1.0
HIANDRASYAHTHE,1.0
PT VIRGO KENCANA SEJATI LINE,1.0
JOHAN FERDINAND MANGEMPIS,1.0
PT TRI ENERGI TEKNOLOGI,1.0
SARI WIDJAYA,1.0
PT WAVIV TECHNOLOGIES,1.0
SOE TO TIE LIN,1.0
PT RAINBOW TUBULARS MANUFACTURE,1.0
JAKARIA UMAR,1.0
PT JM MUTU UTAMA,1.0
MUJTABA HUSSAIN,1.0
PT EFISHERY AQUACULTURE INDONESIA,1.0
CHAIRA HUSADA WIDIADIBRATA,1.0
PT ALERE HEALTH,1.0
MUHAMMAD TAIB SANGAJI,1.0
PT MOTASA INDONESIA,1.0
JUHANDA,1.0
CV MITRA TOP,1.0
LOJIMIN,1.0
PT BETA SUMATERA JAYA PLAST,1.0
TAKAO YOSHIDA,1.0
PT IHI POWER SERVICE INDONESIA,1.0
HANDOKO DARMAWAN,1.0
PT HIDROFLEX INDONESIA,1.0
RENOLD HUTAGAOL,1.0
PT UNEDO JAYA PERSADA,1.0
ROBERT SEUNG,1.0
SARFIUN,1.0
PT BUMI BERKAT LESTARI RAYA,1.0
SUTOPO WIDODO,1.0
PT SAMUDRA PUTRA TRANS ABADI,1.0
ADANG SUPRIANTO,1.0
PT SEJAHTERA UTAMA KONSTRUKSI,1.0
SEBASTIAN MOENANDAR,1.0
PT INDOTRANS SEJAHTERA,1.0
ANDREAS CHRISTIANTO,1.0
ANDREE,1.0
PT BERUANG MARITIM INDONESIA,1.0
YANG JIANTAO,1.0
PT HAIDA AGRICULTURE INDONESIA,1.0
SONNY WINARSO,1.0
PT PANEN MAS SURYA ABADI,1.0
PRAYOGO PRAYITNO,1.0
PT BERILL JAYA SEJAHTERA,1.0
HANDY SETIAWAN,1.0
PT GRAND PURI PERSADA,1.0
MEGUSDYAN SUSANTO,1.0
PT STANDARDPEN INDUSTRIES,1.0
GOWINDA SIBIT,1.0
PT ANUGERAH PANJI MANDIRI,1.0
FIRMAN RUSLI,1.0
PT KARYA HALIM SAMPOERNA,1.0
TITUS SOEMADI,1.0
PT METRO DIGITAL CITY,1.0
SOEBIANTO HIDAYAT,1.0
HANOCHEM,1.0
YO ISHIZAKI,1.0
PT MOL INDONESIA,1.0
KUSNAN BASRI,1.0
CV PUTRA SONGKA MANDIRI,1.0
SYAIFUL AKBAR,1.0
PT SYARATAN ABADI LESTARI,1.0
REDJEKI KASIN,1.0
PT TRIROYAL TIMURRAYA,1.0
AWI LAW,1.0
PT DEWA SUKSES MANDIRI,1.0
SUSANTO NUSALIM,1.0
PT INFERCO,1.0
MUHAMMAD DADYA MANGGALA,1.0
PT MANGGALA DUTA MAKMUR,1.0
DENNY RUSMIYANTO,1.0
PT RIZKY ARMADA TRANSPORTASI,1.0
MAURIZIO SUTOJO,1.0
PT BIMA MARITIMINDO,1.0
SOMA ARIYAKA,1.0
PT HASNUR CIPTA KARYA,1.0
KAMSRI,1.0
PT ANUGERAH BUMIPUTRA,1.0
UMAR SUWANDI,1.0
PT BARATAMA PUTRA PERKASA,1.0
ERLIM SAAT,1.0
PT FALCON PATRIOT UDARA,1.0
WILLYANTO THUNGGAL SOEPARDI,1.0
PT DEWA PATRIA,1.0
THE HENDRA GUNAWAN,1.0
PT MITRA ANEKA SOLUSINDO,1.0
SIMON LEGIMAN,1.0
PT BESAR CIPTA KARYA,1.0
DESSY MARIA QIMTY,1.0
CV SELALU LANCAR USAHA,1.0
ANDRI SATIA WANGSADIRDJA,1.0
PT ALTEK TIRTA SARANA,1.0
CAO ZHIQIANG,1.0
PT HIRONG METAL TRADING,1.0
BAYU WICAKSONO,1.0
PT DAVILAND PROPERTY PARTNERS,1.0
I MADE PUTRA YASA,1.0
MICHAEL JASON KURNIAWAN,1.0
PT LOKAL KULTURE KREATIF ABADI,1.0
PUTU AGUNG PRIANTA,1.0
MARIA SANTOSO,1.0
YAYASAN GEREJA KEMAH TABERNAKEL,1.0
CHEUNG CHUNG NING,1.0
PT INTER WORLD STEEL MILLS INDONESIA,1.0
JUANA SUMALI,1.0
PT HANSURYA STEEL INDONESIA,1.0
WIDJAJA SARWONO,1.0
PT BERNOFARM,1.0
SIM RUDY TJAHJADI,1.0
PT CIPTA KARYA SUKSES ABADI,1.0
HERI HERMANTO ANG,1.0
PT KILAT MAJU JAYA,1.0
DAVID GUNAWAN,1.0
PT SAMUDERA NAGA GLOBAL,1.0
KEVIN GERARD GLUSKIE,1.0
PT PIONIRBETON INDUSTRI,1.0
TENG TIEN ENG MOSES,1.0
PT SERVINDO JAYA UTAMA,1.0
BAMBANG PRIJONO SUSANTO PUTRO,1.0
PT MAKMUR KARSA MULIA,1.0
NG AH KOO ERIC NG,1.0
PT INDO GLOBAL TRAKTOR,1.0
SATRIA WIBOWO HARTONO,1.0
PT ASTARI NIAGARA INTERNASIONAL,1.0
CHANDRA LUMY,1.0
PT SENGON KONDANG NUSANTARA,1.0
DANIEL HANDOKO,1.0
CV GARUDA MAS LESTARI,1.0
AMIEN GONDOSABDONO,1.0
PT LABAN RAYA SAMODRA,1.0
DAVID KIANARDI,1.0
PT KURNIA MAKMUR ABADI JAYA,1.0
SANDROS MULIA GOZALI,1.0
PT PANDA MAS KIMIA ABADI,1.0
KRIS HARYANTO,1.0
PT PRO 8 INDONESIA,1.0
YUWANA,1.0
PT ARKANANTA APTA PRATISTA,1.0
EFAN HANDOKO,1.0
PT MITRA ALAM PERSADA,1.0
SUROTO,1.0
PT DIMAS AQNI PUTRA,1.0
TONY PRIJANTO,1.0
PT ARMINDO PERKASA,1.0
FAHMI ABD KADIR ASKAR,1.0
PT DUTAGRAHA NIRWANA REALTINDO,1.0
AHMAD LUSSY,1.0
PT TATA MANDIRI DAERAH LIPPO KARAWACI,1.0
JOS HERY WIDJAJA,1.0
PT NETINCO SOLUSI INDONESIA,1.0
IMAN RACHMAN,1.0
PT KUSTODIAN SENTRAL EFEK INDONESIA,1.0
WIDIYANTO,1.0
PT ECOTEKNO ANUGERAH KARYA,1.0
GITHA SUSILO,1.0
PT JENINDO PRAKARSA,1.0
ENANG SANTOSO,1.0
PT PINTU TIGA RAHARJA,1.0
RUDY SUSANTO WIJAYA,1.0
PT GRAHA PRIMA MENTARI,1.0
SUPIAR SELAMAT,1.0
PT ARIZONA KARYA MITRA,1.0
SURYA HARIANTO,1.0
PT TRINITI PRATAMA MULIA,1.0
TERDY MENGKO,1.0
PT PATOKA SARANA,1.0
ADYAN HADIKUSUMAH,1.0
PT NIAGA BARA SUKSES,1.0
PRAHARA FIRDAUSI,1.0
PT BINTORO ENERGI PERSADA,1.0
NICO,1.0
PT RIAN JAYA ABADI,1.0
CANDRA WINATA,1.0
PT UTAMA WIRA KARYA JAYA PERKASA,1.0
MAIMA WARDHA SYAKHROZA,1.0
PT ALFA GRANITAMA,1.0
GOH SEOW HEE,1.0
PT SCHNEIDER ELECTRIC MANUFACTURING BATAM,1.0
YANG WEN,1.0
