Nama,PageRank
PT DMS PROPERTINDO TBK,0.98
BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK,0.98
PT BANK DANAMON INDONESIA TBK,0.98
PT SIGMA ENERGY COMPRESSINDO TBK,0.98
KERAMIKA INDONESIA ASSOSIASI TBK,0.98
PT KEDOYA ADYARAYA TBK,0.98
PUDJIADI PRESTIGE TBK,0.98
PT LIMA DUA LIMA TIGA TBK,0.98
ALAMTRI RESOURCES INDONESIA TBK,0.96
PT INTER PARIWARA GLOBAL,0.96
PT M CASH INTEGRASI TBK,0.96
PT TRIMEGAH KARYA PRATAMA TBK,0.96
PT ULIMA NITRA TBK,0.95
PT JASA ARMADA INDONESIA TBK,0.95
PT PP PROPERTI TBK,0.95
PT SEMEN TONASA,0.95
PT TUNAS RIDEAN TBK,0.94
BERLINA TBK,0.94
PT BUKIT ULUWATU VILLA TBK,0.94
PT DIGITAL MEDIATAMA MAXIMA TBK,0.93
PT ELECTRONIC CITY INDONESIA TBK,0.92
PT BALI BINTANG SEJAHTERA TBK,0.92
PT DYANDRA MEDIA INTERNATIONAL TBK,0.92
EKADHARMA INTERNATIONAL TBK,0.92
PT PANCA ANUGRAH WISESA TBK,0.92
PT BILAH BAJA MAKMUR ABADI,0.92
BUANA FINANCE TBK,0.92
PRIMARINDO ASIA INFRASTRUCTURE TBK,0.92
PT ASRI KARYA BINANGUN,0.92
PT IMAGO MULIA PERSADA TBK,0.92
PT MAP AKTIF ADIPERKASA TBK,0.92
PERDANA BANGUN PUSAKA TBK,0.92
GEMA GRAHASARANA TBK,0.92
GARUDA INDONESIA (PERSERO) TBK,0.92
PT GLOBAL SUKSES SOLUSI TBK,0.92
PT CASHLEZ WORLDWIDE INDONESIA TBK,0.92
PT INDOSAN BERKAT BERSAMA,0.92
PT BUANA KONTENINDO EXPRESS,0.92
PT OSCAR MITRA SUKSES SEJAHTERA TBK,0.92
PT KARYA BUMI PRIMA,0.92
PT SINO ZONE INDUSTRY INDONESIA,0.92
PT TEMAS TBK,0.92
PT REPOWER ASIA INDONESIA TBK,0.92
PT ESTA MULTI USAHA TBK,0.92
PT GARUDAFOOD PUTRA PUTRI JAYA TBK,0.91
PT CIKARANG LISTRINDO TBK,0.88
PT HARAPAN DUTA PERTIWI TBK,0.88
ASURANSI MULTI ARTHA GUNA TBK,0.88
PT CHITOSE INTERNASIONAL TBK,0.87
SARANACENTRAL BAJATAMA TBK,0.86
EXPRESS TRANSINDO UTAMA TBK,0.85
BUMI CITRA PERMAI TBK,0.85
SARANA MENARA NUSANTARA TBK,0.85
CIPUTRA DEVELOPMENT TBK,0.85
PARAGON KARYA PERKASA TBK,0.85
PT ATELIERS MECANIQUES D INDONESIE TBK,0.85
PT MARK DYNAMICS INDONESIA TBK,0.85
PIKKO LAND DEVELOPMENT TBK,0.85
INDO ACIDATAMA TBK,0.85
PT BUKALAPAK.COM TBK,0.84
PT PRIMA ANDALAN MANDIRI TBK,0.84
PT SARIGUNA PRIMATIRTA TBK,0.83
PT JAYA SWARASA AGUNG TBK,0.83
SEKAR BUMI TBK,0.83
PT URBAN JAKARTA PROPERTINDO TBK,0.83
PT DHARMA SATYA NUSANTARA TBK,0.82
BANK PERMATA TBK,0.82
PT MEDIKALOKA HERMINA TBK,0.82
PT PLN ENERGI PRIMER INDONESIA,0.81
ASIANA SENOPATI,0.8
PT CHANDRA ASRI PACIFIC TBK,0.8
PT TOURINDO GUIDE INDONESIA TBK,0.79
PT WEHA TRANSPORTASI INDONESIA TBK,0.79
PT PAKUAN TBK,0.79
PANIN SEKURITAS TBK,0.79
PT AGRO YASA LESTARI TBK,0.79
PT ADHI COMMUTER PROPERTI TBK,0.79
PT WATAMA PRIMA,0.79
ERATEX DJAJA TBK,0.79
PT BANK AMAR INDONESIA TBK,0.79
PT EMDEKI UTAMA TBK,0.79
PT MADUSARI MURNI INDAH TBK,0.79
PT AKEBONO BRAKE ASTRA INDONESIA,0.79
PT KHARISMA INTERPLAST PRATAMA,0.79
PT KHARISMA SEJAHTERA,0.79
PT ANUGERAH COMMUNICATION,0.79
PT LOTTE CHEMICAL TITAN TBK,0.79
RODA VIVATEX TBK,0.79
RELIANCE SEKURITAS INDONESIA TBK,0.79
PT MEGA INTERNASIONAL SEJAHTERA,0.79
PT KARYA KHARISMA MANDIRI,0.79
PT HARTADINATA ABADI TBK,0.79
INDOFARMA TBK,0.79
PT ARKADIA DIGITAL MEDIA TBK,0.79
BINTANG MITRA SEMESTARAYA TBK,0.79
PT ROYALINDO INVESTA WIJAYA TBK,0.79
PT SELARAS CITRA NUSANTARA PERKASA TBK,0.79
GUNAWAN DIANJAYA STEEL TBK,0.79
PT NUSA PALAPA GEMILANG TBK,0.79
PT SABA INDOMEDIKA,0.79
PT PURI GLOBAL SUKSES TBK,0.79
PT HASNUR INTERNASIONAL SHIPPING TBK,0.79
PT PINAGO UTAMA TBK,0.79
PT BANK MAYAPADA INTERNASIONAL TBK,0.78
PT KAPUAS PRIMA COAL TBK,0.75
KOPERASI LANGGAI BERSAMA,0.75
