Nama,Degree
PT KURNIAMITRA DUTA SENTOSA TBK,24.0
POLYCHEM INDONESIA TBK,23.0
PT SENTRA FOOD INDONESIA TBK,23.0
PT MULTIPOLAR TECHNOLOGY TBK,23.0
PT MITRABARA ADIPERDANA TBK,23.0
PT MERDEKA COPPER GOLD TBK,23.0
PT PP PROPERTI TBK,23.0
INDOSPRING TBK,23.0
PT KEDOYA ADYARAYA TBK,23.0
PT SARASWANTI ANUGERAH MAKMUR TBK,23.0
SONA TOPAS TOURISM INDUSTRY TBK,23.0
SMR UTAMA TBK,22.0
MITRA INVESTINDO TBK,22.0
MNC KAPITAL INDONESIA TBK,22.0
PT JAYA TRISHINDO TBK,22.0
ISLAND CONCEPTS INDONESIA TBK,22.0
PT ESTIKA TATA TIARA TBK,22.0
PT MORENZO ABADI PERKASA TBK,22.0
PT QUANTUM CLOVERA INVESTAMA TBK,22.0
PT PHAPROS TBK,22.0
WICAKSANA OVERSEAS INTERNATIONAL TBK,21.0
PT LINK NET TBK,21.0
NEGARA REPUBLIK INDONESIA,21.0
PT CATURKARDA DEPO BANGUNAN TBK,21.0
CIPUTRA DEVELOPMENT TBK,21.0
PT INDORITEL MAKMUR INTERNASIONAL TBK,21.0
PT PALMA SERASIH TBK,21.0
SURYA CITRA MEDIA TBK,21.0
PT MEGALESTARI EPACK SENTOSARAYA TBK,21.0
PT TRIMUDA NUANSA CITRA TBK,21.0
PT MEGA PERINTIS TBK,21.0
PT SARATOGA INVESTAMA SEDAYA TBK,20.0
PT GTS INTERNASIONAL TBK,20.0
SEKAR BUMI TBK,20.0
MULTIPOLAR TBK,20.0
MULTI PRIMA SEJAHTERA TBK,20.0
PT AGRO YASA LESTARI TBK,20.0
SAMINDO RESOURCES TBK,20.0
SOLUSI TUNAS PRATAMA TBK,20.0
PT VISI TELEKOMUNIKASI INFRASTRUKTUR TBK,20.0
SHANTOU JINJIA TRADING CO LTD,20.0
PT PYRIDAM FARMA TBK,20.0
PT NUSANTARA PELABUHAN HANDAL TBK,19.0
PT ARCHI INDONESIA TBK,19.0
MANDOM INDONESIA TBK,19.0
PT KIOSON KOMERSIAL INDONESIA TBK,19.0
KRAKATAU STEEL (PERSERO) TBK,19.0
PT GOTO GOJEK TOKOPEDIA TBK,19.0
TOTAL BANGUN PERSADA TBK,19.0
PT IMC PELITA LOGISTIK TBK,19.0
PT ARKADIA DIGITAL MEDIA TBK,19.0
PT PERUSAHAAN GAS NEGARA TBK,19.0
PT CHITOSE INTERNASIONAL TBK,19.0
PT CHAMP RESTO INDONESIA TBK,18.0
PT NATURA CITY DEVELOPMENTS TBK,18.0
TRIKOMSEL OKE TBK,18.0
PT GARUDAFOOD PUTRA PUTRI JAYA TBK,18.0
PT BUNDAMEDIK TBK,18.0
BARITO PACIFIC TBK,18.0
PELAT TIMAH NUSANTARA TBK,18.0
ADI SARANA ARMADA TBK,18.0
SAMUDERA INDONESIA TBK,18.0
PT TERREGRA ASIA ENERGY,18.0
WINTERMAR OFFSHORE MARINE TBK,18.0
EXPRESS TRANSINDO UTAMA TBK,18.0
ESSA INDUSTRIES INDONESIA TBK,18.0
PIKKO LAND DEVELOPMENT TBK,18.0
CAHAYA AERO SERVICES TBK,18.0
PT LANCARTAMA SEJATI TBK,18.0
INDONESIAN PARADISE PROPERTY TBK,18.0
PT JASA ARMADA INDONESIA TBK,18.0
PT JASA MARGA TBK,17.0
PT HARAPAN DUTA PERTIWI TBK,17.0
PT MENTENG HERITAGE REALTY TBK,17.0
PT SUMMARECON AGUNG TBK,17.0
PT ADHI COMMUTER PROPERTI TBK,17.0
PT GRAHA ANDRASENTRA PROPERTINDO TBK,17.0
ASAHIMAS FLAT GLASS TBK,17.0
METROPOLITAN LAND TBK,17.0
PT MAHARAKSA BIRU ENERGI TBK,17.0
PARAGON KARYA PERKASA TBK,17.0
PT ZYREXINDO MANDIRI BUANA TBK,17.0
BUMI CITRA PERMAI TBK,16.0
PT TRISULA TEXTILE INDUSTRIES TBK,16.0
PT LIMA DUA LIMA TIGA TBK,16.0
INTER-DELTA TBK,16.0
PT AGUNG SEMESTA SEJAHTERA TBK,16.0
TUNAS BARU LAMPUNG TBK,16.0
PT TEMAS TBK,16.0
PT TELKOM INDONESIA (PERSERO) TBK,16.0
PT OBM DRILCHEM TBK,16.0
GAJAH TUNGGAL TBK,16.0
SELAMAT SEMPURNA TBK,16.0
ERATEX DJAJA TBK,16.0
PT ELECTRONIC CITY INDONESIA TBK,15.0
PT IFISHDECO TBK,15.0
PT WINNER NUSANTARA JAYA TBK,15.0
PT INTEGRA INDOCABINET TBK,15.0
ALAM SUTERA REALTY TBK,15.0
KABELINDO MURNI TBK,15.0
SIDOMULYO SELARAS TBK,15.0
CATUR SENTOSA ADIPRANA TBK,15.0
PT AKR CORPORINDO TBK,15.0
INDAL ALUMINIUM INDUSTRY TBK,15.0
PT PANCA BUDI IDAMAN TBK,15.0
PT PRADIKSI GUNATAMA TBK,15.0
DESTINASI TIRTA NUSANTARA TBK,14.0
PT GLOBAL MEDIACOM TBK,14.0
PT GREENWOOD SEJAHTERA TBK,14.0
PELAYARAN NASIONAL BINA BUANA RAYA TBK,14.0
MNC SKY VISION TBK,14.0
PT BINTANG SAMUDERA MANDIRI LINES TBK,14.0
PT MNC VISION NETWORKS TBK,14.0
INTI BANGUN SEJAHTERA TBK,14.0
PT MAHAKA RADIO INTEGRA TBK,14.0
PT BANK RAKYAT INDONESIA (PERSERO) TBK,14.0
CITA MINERAL INVESTINDO TBK,14.0
CENTRAL PROTEINA PRIMA TBK,13.0
PT INDOINTERNET TBK,13.0
PT PANTAI INDAH KAPUK DUA TBK,13.0
PRASIDHA ANEKA NIAGA TBK,13.0
PT RED PLANET INDONESIA TBK,13.0
SAT NUSAPERSADA TBK,13.0
SUMBER ENERGI ANDALAN TBK,13.0
EQUITY DEVELOPMENT INVESTMENT TBK,13.0
PT BATULICIN NUSANTARA MARITIM TBK,13.0
INTRACO PENTA TBK,13.0
PT ASIA SEJAHTERA MINA TBK,13.0
PT NIPPON INDOSARI CORPINDO TBK,13.0
PT LAUTAN LUAS TBK,13.0
TEMBAGA MULIA SEMANAN TBK,13.0
GOLDEN EAGLE ENERGY TBK,12.0
PT CITRA PUTRA REALTY TBK,12.0
SEPATU BATA TBK,12.0
