Nama,Degree
PT JAYA TEKNIK INDONESIA,4.0
PT KRAKATAU WAJATAMA OSAKA STEEL,4.0
PT LOGITEK DIGITAL NUSANTARA,4.0
PT CIPTA KRIDATAMA,4.0
PT BUMI NUSANTARA JAYA,4.0
PT ANGKASA PURA II,4.0
PT LEN INDUSTRI (PERSERO),4.0
PT ECOGREEN OLEOCHEMICALS,4.0
PT RHEEM INDONESIA,4.0
PT PADI FLOUR NUSANTARA,4.0
PT INDONESIA TSINGSHAN STAINLESS STEEL,4.0
AVRA COMMODITIES PTE LTD,4.0
PT INBISCO NIAGATAMA SEMESTA,4.0
PT PUPUK KALIMANTAN TIMUR,4.0
BAYU BUANA TBK,4.0
PT CHAMP RESTO INDONESIA TBK,4.0
PT ALLO BANK INDONESIA TBK,4.0
GARUDA INDONESIA (PERSERO) TBK,4.0
PT BANK TABUNGAN NEGARA (PERSERO) TBK,4.0
PT BANK JTRUST INDONESIA TBK,4.0
BEKASI FAJAR INDUSTRIAL ESTATE TBK,4.0
PT GRAHA LAYAR PRIMA TBK,4.0
PT ZKDIGIMAX EXCEL NOBLE,4.0
PT PINDAD (PERSERO),4.0
PT DIAN CIPTAMAS AGUNG,4.0
PT SAMSUNG ELECTRONICS INDONESIA,4.0
PT SARI COFFEE INDONESIA,4.0
PT BANK MASPION INDONESIA TBK,4.0
BANK BUMI ARTA TBK,4.0
PT BANK MAYBANK INDONESIA TBK,4.0
BANK PERMATA TBK,4.0
PT BATAVIA PROSPERINDO TRANS TBK,4.0
BANK VICTORIA INTERNATIONAL TBK,4.0
PT GRAHA TUNAS SELARAS,4.0
PT BRAHMAYASA BAHTERA,4.0
PT CRODA TRADING INDONESIA,4.0
PT PANEN LESTARI INDONESIA,4.0
PT ABDI ANUGERAH PERSADA,4.0
PT DAM KORPORINDO DIGITAL,4.0
PT NUSANTARA INTI KARUNIA,4.0
PT OMEGA KREASI BERSAMA,4.0
PT VOLTA INDONESIA SEMESTA,4.0
PT SENTANA ADIDAYA PRATAMA,4.0
PT GOAUTAMA SINARBATUAH,4.0
PT KUTAI REFINERY NUSANTARA,4.0
