Nama,Degree
ANITA,2.0
H RACHMADI HAS,2.0
HASNURYADI SULAIMAN,2.0
HASNURYANI,2.0
NILA SUSANTI,2.0
EDWIN WIDJAJA,2.0
SURYADI,2.0
RIADI DIDIK TJAHJANTO,2.0
CHIA AH HOO,2.0
JOSEPHINE MUALIM,2.0
DANIEL GUNAWAN,2.0
JUSAK KERTOWIDJOJO,2.0
WILLIANTO HUSADA,2.0
ANDRY BUDIMAN LIMAWAN,2.0
YEHEZKIEL FULIA,2.0
ARIF THENU,2.0
WELLY SUMANTERI,2.0
SOENARDI WINARTO,2.0
WIDARTO,2.0
SUTRISNO WIBOWO,2.0
NAOYA NAKAMURA,2.0
ALITA DINAMIKA PERSADA,2.0
ANTON SETIAWAN,2.0
HERU SETIAWAN,2.0
SIGIT WIDYAWAN,2.0
SIGIT PRASTOWO,2.0
ANG KINARDO,2.0
SURJA HARTONO,2.0
HARDY SATYA,2.0
TAHIR,2.0
TJAHJONO ALIM,2.0
EFENDY GOJALI,2.0
BENNY SURYANTO,2.0
UMARSONO ANDY,2.0
USMAN ANDY,2.0
BUDHI SANTOSO,2.0
BUDHI HARTONO,2.0
BUDHI MOELJONO,2.0
BIANTORO SETIJO,2.0
ANWAR TAY,2.0
AGUS DWI HANDAYA,2.0
FAYSAL DENI RAHMAN,2.0
CHRISTIAN SUHARYA,2.0
XIANG BINGHE,2.0
JOHANNES LOMAN,2.0
YASUSHI ITAGAKI,2.0
