Nama,cluster_fastrp_256
BLT LNG TANGGUH CORPORATION,0
BLT SHIPPING CORPORATION,2
BLUE AQUA FOODS SA DE CV,1
BLUE GRASS FARMS AMERIKA SERIKAT,0
BLUE OCEAN RESOURCES PTE LTD,0
BLUE SPHERE SINGAPORE PTE LTD,2
BM ALLIANCE COAL OPERATIONS PTY LTD,2
BMTR DIGITAL LIMITED,1
BMTR MEDIA LIMITED,1
BNI HONGKONG,0
BNI LONDON,0
BNI REMITTANCE LTD,0
BNP PARIBAS SINGAPORE BRANCH WEALTH MANAGEMENT,1
BNWP CELLA HOLDING PTE LTD,0
BNYM RE ACP II TRADING LLC 2039927457,2
BNYM RE BNYMTCNA RE BCSS BORON A I LP,1
BOEVT (HONGKONG) CO LTD,2
BONLIGHT INVESTMENT LIMITED,0
BOOKINGCOM BV,2
BORNEO AGRI-RESOURCES INTERNATIONAL PTE LTD,2
BORNEO TECHNICAL CO(M) SDNBHD,2
BOWEN COKING COAL LIMITED,2
BP BERAU LTD,0
BP2S/SG BNP PARIBAS WEALTH MANAGEMENT SINGAPORE BRANCH,1
BRADKE SYNERGIES SDN BHD,1
BRANTAS ABIPRAYA,1
BRASMAR COMERCIO DE PRODUCTOS,1
BREDERO SHAW INTERNATIONAL BV,1
BRI GLOBAL FINANCIAL SERVICES CO LTD,1
BRIDGE LEED LIMITED,0
BRIDGESTONE CORPORATION,2
BRIDGESTONE SINGAPORE PTE LTD,2
BRILLIANT COMMODITY LIMITED,0
BROOKLYN ENTERPRISE PTE LTD,1
BSP FINANCE B.V,1
BSP LIBERIA B.V,1
BSP NETHERLAND FINANCE B.V,1
BTPN SYARIAH,1
BUANA FINANCE TBK,2
BUDI STARCH & SWEETENER SINGAPORE PTE LTD,1
BUHLMANN SINGAPORE PTE LTD,1
BUKA AUSTRALIA PTY LTD,2
BUKA AUSTRALIA PTY. LTD.,1
BUKA INVESTASI BERSAMA,1
BUKA KOREA CO LTD,2
BUKA MITRA INDONESIA,1
BUKA MITRA PROPERTI,1
BUKA PENGADAAN INDONESIA,1
BUKAKA INTERNATIONAL LLC,1
BUKAKA TEKNIK UTAMA TBK,1
BUKAKA THREE D PRIVATE LIMITED,1
BUKALAPAK,1
BUKALAPAK PTE LTD,2
BUKALAPAK PTE. LTD.,1
BUKIT ASAM TBK,1
BUKIT MAKMUR MANDIRI UTAMA PTE LTD,2
BULL INTERNATIONAL HOLDING PTE LTD,2
BULL INTERNATIONAL MARITIME PTE LTD,2
BULL INTERNATIONAL SHIPPING PTE LTD,2
BULL MARITIME CAPITAL PTE LTD,2
BULL MARITIME INC PTE LTD,2
BULL MARITIME INTERNATIONAL SERVICES,2
BUMA AUSTRALIA PTY LTD,2
BUMD PERDANA CIPTA MANDIRI,1
BUMI CITRA PERMAI TBK,1
BUMI RESOURCES MINERALS TBK,1
BUMI RESOURCES TBK,2
BUMI TEKNOKULTURA UNGGUL TBK,1
BUNGASARI FLOUR MILLS,0
BURAPA ASCENDING CO LTD,0
BYTTEBIER HOUT NV,0
C LOGISTICS GROUP LIMITED,1
C&A BUYING GMBH & CO KG,2
C&D (CHENGDU) CO LTD,1
C&D (SINGAPORE) BUSINESS PTE LTD,1
C&D (WUHAN) CO LTD,1
C&D LOGISTICS GROUP CO LTD,1
C-ENG CO LTD,2
CABLES DE COMUNICACIONES ZARAGOZA SL,2
CABLESCOM,2
CAESAR HOLDING CELLA PTE LTD,0
CAHAYA AERO SERVICES TBK,2
CALIPSO INVESTMENT PTE LTD,1
CAMAR RESOURCES CANADA INC,0
CAPGC PTE LTD,2
CAPITOL GRAVURE INDUSTRIES,0
CAPRAL ALUMINIUM IND,1
CARAVAGGIO HOLDINGS LIMITED,1
CARAVEL CARBONS LIMITED,1
CARBON RESILIENCE PTE LTD,1
CARBON RESOURCES ALLIANCE APS,2
CARGILL PALM PRODUCTS SDN BHD,2
CARGOTEC FINLAND OY,1
CARLISLE VENTURE PTE LTD,1
CASCADE CREEK PTY LTD,2
CASHIN RESOURCE COMPANY LIMITED,1
CASTLE PEAK POWER CO LTD,1
CATHAY UTIMA INVESTMENT PTE LTD,1
CATUR KUSUMA ABADI SEJAHTERA,0
CATUR SENTOSA ADIPRANA TBK,0
CAVENAGH OLEO S PTE LTD,1
CBH RESOURCES PTE LTD,1
CCL LABEL (THAI) LTD,1
CCL LABEL SINGAPORE PTE LTD,1
CEAMSA ASIA,0
CELESTA PRIME TECHNOLOGY PTE LTD,1
CELLA MANAGEMENT PTE LTD,0
CELLAR TECHNOLOGY VENTURE PTE LTD,2
CEMINDO INVESTMENT PTE LTD,2
CENTRAL BUSINESS ALLIANCE,0
CENTRAL OMEGA RESOURCES TBK,0
CENTRAL PROTEINA PRIMA TBK,0
CENTURY COMMODITIES SOLUTION PTE LTD,1
CEPR BV,1
CGI HOLDINGS LIMITED,1
CGS CIMB SECURITIES SINGAPORE PTE LTD,1
CGS INTERNATIONAL SECURITIES SINGAPORE PTE LTD,2
CHALCO TRADING HONGKONG CO LTD,1
CHAMPION PACIFIC INDONESIA TBK,0
CHANCE STAND FINANCE LIMITED,1
