Nama,Closeness
PT TAKJUB FINANSIAL TEKNOLOGI,0.57
PT BUDIMAN KENCANA LESTARI,0.57
PT DANA GRAHA AGUNG,0.57
PT RISJADSON SURYATAMA,0.57
KORDSA TEKNIK TEKSTIL AS,0.57
PT RAJAWALI INTI,0.57
PT IGELCORP NUSANTARA KAPITAL,0.57
PT RAJAWALI DWIPUTRA INDONESIA,0.57
PT IGELCORP ASIA KAPITAL,0.57
GDEX BERHAD,0.57
GD VALUEGUARD SDN BHD,0.57
GDEX SEA SDN BHD,0.57
PT SATRIA INVESTAMA PERDANA,0.57
INTERNATIONAL RESOURCES LTD,0.57
PT TIARA INTIMAHKOTA,0.57
PT NAWA PANDUTA,0.57
PT PRISMATAMA NUGRAHA,0.57
THE TOLARAM FAMILY TRUST,0.57
INVESTREE SINGAPORE PTE LTD,0.57
PT JAGAT RAYA IMAJINASI,0.57
TOLARAM PTE LTD,0.57
PT BANK KB BUKOPIN SYARIAH,0.57
PT KB BUKOPIN FINANCE,0.57
THAI INDO KORDSA CO LTD,0.57
PT VIRUCCI INDOGRIYA SARANA,0.57
PT GARDA MINERALS,0.57
BANK J SAFRA SARASIN LTD,0.57
GREEN RIVER PTE LTD,0.57
PT YAKIN WISKON,0.57
BARA PTE LTD,0.57
PT SURYASAKTI BUDIMARKARTI,0.57
PT PERKASA MAKMUR AMARA,0.57
PT FOSTER ASSET MANAGEMENT,0.57
PT STAR SEMESTA SEJAHTERA,0.57
PT TUNAS SURYA ABADI,0.57
PT PEMBANGUNAN DELTAMAS,0.57
PT EKADHARMA MITRA NIAGA,0.57
VISKO INDUSTRIES SDN BHD,0.57
VISKO SDN BHD,0.57
KOOKMIN BANK CO LTD,0.57
STIC EUGENE STAR HOLDING INC,0.57
J TRUST,0.57
J TRUST ASIA PTE LTD,0.57
J TRUST CO LTD,0.57
PT JTRUST INVESTMENT INDONESIA,0.57
PT KENCANA SELARAS SEJAHTERA,0.57
SUMITOMO RUBBER THAILAND CO LTD,0.57
SINAR MAS LAND,0.57
PT SUMBER ARUSMULIA,0.57
SOJITZ CORPORATION,0.57
PT EKADHARMA INTI PERKASA,0.57
PT LAMINATECH KREASI SARANA,0.57
PT PRASETYA GEMAMULIA,0.57
PT VIVERE MULTI KREASI,0.57
GTBO INTERNATIONAL FZE,0.57
PT PACIFIC STAR SYNERGY,0.56
PT SARI BUMI INDOPOWER,0.56
PT GRAHA INTI HARAPAN,0.56
CATHAY UTIMA INVESTMENT PTE LTD,0.56
PT GLORIAJAYA GEMPITA,0.56
HEYDAY INVESTMENT LIMITED,0.56
EQUATOREX SDN BHD,0.56
PT MSIG LIFE INSURANCE INDONESIA TBK,0.56
PT INDAH KREASI SENTOSA,0.56
PT TRIGUNA ALAM SEMESTA,0.56
PT TRIGUNA ANUGRAH SEMESTA,0.56
PT WISESA SEMESTA JAYA,0.56
BANK SINARMAS TBK,0.56
INDONESIA AIRASIA,0.56
PT FERSINDO NUSAPERKASA,0.56
AIRASIA AVIATION GROUP LIMITED,0.56
PT GARDA TAWANG REKSA INDONESIA,0.56
PT INDONESIA AIRASIA,0.56
NIKOS DISTRIBUTION INDONESIA,0.56
TIRTA TALAGA JAYA,0.56
ULTRA PETERNAKAN BANDUNG SELATAN,0.56
ULTRA SUMATERA DAIRY FARM,0.56
PT ENVY KAPITAL INTERNASIONAL,0.56
PT ENVY UNITY INDONESIA,0.56
PT RITEL GLOBAL SOLUSI,0.56
PT TRIJAYA WISESA MAKMUR,0.56
WEISER GLOBAL CAPITAL MARKETS LTD,0.56
PT ENVY MANAJEMEN KONSULTANSI,0.56
PT PRAWIRAWIDJAJA PRAKARSA,0.56
PT IONA LAUT LOGISTIK,0.56
PT PELABUHAN LAUT SRIWIJAYA,0.56
PT SURYA ENERGI ABADI,0.56
DK LIM SONS INVESTMENT PTE LTD,0.55
PT KEDAWUNG SUBUR,0.55
GOLDEN RABBIT HOME,0.55
PT CORONET CROWN,0.55
PT NISSIN BISCUIT INDONESIA,0.55
THE GOLDEN RABBIT II,0.55
HONOUR TOWER SDN BHD,0.55
PT BERJAYA DYNAMICS INDONESIA,0.55
PT MEGAH RAYA SUMATERA,0.55
PT KOTA SATU INDONESIA,0.55
PT HOTEL CANDI BARU,0.55
PT WONDERFUL INDAH JAYA,0.55
TRIBUN JATENG,0.55
PT MUNCUL ANUGERAH SAKTI,0.55
PT KOTA SATU MANAJEMEN,0.55
PT KOTA SATU PERSADA,0.55
PT KOTA SATU PRATAMA,0.55
MUNCUL NIGERIA LIMITED,0.55
PT BERLICO MULIA FARMA,0.55
PT MUNCUL MEKAR,0.55
PT SEMARANG HERBAL INDO PLANT,0.55
PT MODERN DATA SOLUSI,0.55
PT MODERN PANGAN INDONESIA,0.55
PT MODERN SEVEL INDONESIA,0.55
PT TANINDO OMEGA PASIFIK,0.55
TECABLE HK CO LIMITED,0.55
PT MARK CAPITAL INDO,0.55
PT DYNA CAPITAL INDO,0.55
CS AG SG ASIALINK ELECTRONICS,0.55
CIMBGNT SA CIMBPE,0.55
PT BUKIT HEDAMA PERMAI,0.55
CV FAMILY PLASTINDO,0.55
CV MITRA TOP,0.55
PT BETA SUMATERA JAYA PLAST,0.55
PT BLESS PLASTINDO UTAMA,0.55
PT CITRA GEMILANG INTERNASIONAL,0.55
PT BIROPAY INDOTEKNOLOGI GLOBAL,0.54
PT DOEKU PEDULI INDONESIA,0.54
PT EMPOSH SINERGI ASIA,0.54
PT MOTRANSFER OTORITAS INTERNASIONAL,0.54
PT STARLINK SOLUSI,0.54
PT STARLINK SOLUSI INTERNASIONAL,0.54
PT TRIMITRA PRAWARA,0.54
PT KOREK API GUNA MANDIRI,0.54
PT BINTANG BERSINAR CEMERLANG,0.54
PT GEMA BUSANA RAYA,0.54
PT RENALDI JAYA EKA INTI,0.54
PT ASURANSI JIWA NASIONAL,0.54
PT BHAKTI CAHAYA UTAMA,0.54
PT BHAKTI FINTEK INDONESIA,0.54
PT NASIONAL INVESTINDO PERKASA,0.54
PT KAGUM MAHA KARYA JAYA,0.54
PT KAMALA KHAN MAHA INVESTASI,0.54
PT PERMATA NUSANTARA HOTELINDO,0.54
PT BUKIT BALI PERMAI,0.54
PT BUKIT LAGOI VILLA,0.54
PT CULINA GLOBAL UTAMA,0.54
PT DIALOG MITRA SUKSES,0.54
PT MANDRA ALILA,0.54
PT SITARO MITRA ABADI,0.54
PT NUSANTARA UTAMA INVESTAMA,0.54
PT TEMPO INTI MEDIA HARIAN,0.54
PT TEMPRINT,0.54
PT KIRANA TAMA TEKNOLOGI,0.54
PT QORSER TEKNOLOGI,0.54
PT SMOOETS TEKNOLOGI OUTSOURCING,0.54
PT DAVEST INVESTAMA MANDIRI,0.54
PT SURYA DUTA MAS,0.54
EASTERN PEAK GROUP CORPORATION,0.54
PT BHAKTI ARTHA GLOBAL,0.54
KJPP PATUH ANSORI,0.54
PT BE WIN,0.54
PT GORESAN VISUAL,0.54
PT IKATAMA,0.54
PT KGU,0.54
PT MABT,0.54
PT GRAFITI PERS,0.54
YAYASAN KARYAWAN TEMPO,0.54
PT JAYA RAYA UTAMA,0.54
YAYASAN PEMBANGUNAN JAYA RAYA,0.54
YAYASAN TEMPO 21 JUNI 1994,0.54
PT SILICON VALLEY CONNECTION,0.54
PT WYNFIELD GLOBAL VENTURES,0.54
PT PUSAKA MAS PERSADA,0.54
PT WALDEN GLOBAL SERVICES,0.54
PT ANDALAN SAKTI NUSA,0.53
PT ASIA MENTARI PROPERTI,0.53
PT ISTANA KUTA RATU PRESTIGE,0.53
PT INDONESIA VODA STEEL,0.53
PT DAYA RADAR HAURA,0.53
PT EVERAGE VALVES METAL,0.53
PT ISPAT INDO,0.53
PT JATIM TAMAN STEEL,0.53
PT LUCKY TOP METALS,0.53
PT PRIMA BETON BANGUN PERSADA,0.53
PT DMS INVESTAMA,0.53
PT FLYING FOX NUSANTARA,0.53
PT ANDALAN SAKTI INTI,0.53
BUKA MITRA INDONESIA,0.53
BUKA PENGADAAN INDONESIA,0.53
BUKA INVESTASI BERSAMA,0.53
FIVE JACK,0.53
IPRICE GROUP,0.53
BUKA AUSTRALIA PTY. LTD.,0.53
BUKA MITRA PROPERTI,0.53
BUKALAPAK PTE. LTD.,0.53
PT ACCOLA HOTEL INDONESIA,0.53
PT DMS CIPTA PESONA,0.53
PT DMS GRAHA,0.53
PT DMS LAGUNA,0.53
PT DMS PRIMA SENTOSA,0.53
PT PADJADJARAN RAYA,0.53
PT BANK JABAR BANTEN SYARIAH,0.53
PT BANK PEMBANGUNAN DAERAH BENGKULU,0.53
PT BANK PEMBANGUNAN DAERAH JAMBI,0.53
PT BJB SEKURITAS JAWA BARAT,0.53
PT BPR INTAN JABAR,0.53
PT ADILAKSA MANUNGGAL,0.53
PT K AND L CAPITAL,0.53
PT PRIMA POLYCON INDAH,0.53
PT KL TRIO,0.53
PT ASIAN PERKASA INDOSTEEL,0.53
ASTRIA PACKAGING PTE LTD,0.53
PTTRIAS TOYOBO ASTRIA,0.53
PTUNGGUL NIAGA SENTOSA,0.53
TIANJIN SUNSHINE PACKAGING LTD,0.53
CV PUTRA RANCAMAYA,0.53
PT ABE KOGYO INDONESIA,0.53
PT ANGKASA CIPTA CEMERLANG,0.53
PT ARTHA MULIA BETON,0.53
PT PERINTIS TEKNOPRIMA,0.53
PEMERINTAH DAERAH SE JAWA BARAT DAN BANTEN,0.53
PEMERINTAH DAERAH KABUPATEN BANDUNG,0.53
PEMERINTAH DAERAH PROVINSI JAWA BARAT,0.53
PT BIJI KOPI INTERNUSA,0.53
PT DLANIER GAYA INDONESIA,0.53
PT WAHANA DISTRIBUSI NUSANTARA,0.53
PT WAHANA RETAIL NUSANTARA,0.53
PT WINCO NIAGATAMA CORPORA,0.53
AURORA EQUITY PTE LTD,0.53
PT ANGKASA INTERLAND,0.53
PT GRAHA MITRASANTOSA,0.53
PT JAKARTA THAMRIN PERSADA,0.53
PT LANGGENG AYOMLESTARI,0.53
PT MAHADHIKA GIRINDRA,0.53
PT UBUD ALAM LESTARI,0.53
MAHOGANY GLOBAL INVESTMENT PTE LTD,0.53
PT INTER JAYA CORPORA,0.53
PT MATAHARI SUKSES SEJAHTERA,0.53
PT JCO DONUT & COFFEE,0.53
PT MITRA DUNIA PANGAN,0.53
FIRST PACIFIC CAPITAL GROUP LIMITED,0.53
PT MANNING DEVELOPMENT,0.53
PT BOGORINDO CEMERLANG,0.53
PT CAHAYA LESTARI SEJAHTERA,0.53
PT DWITUNGGAL BANGUN PERSADA,0.53
PT FURNIMART MEBELINDO SAKTI,0.53
PT KARYA MULTI SOLUSI,0.53
PT OLYMPIC FURNITURE GEMILANG,0.53
PT RAVINCO PROCESS & PACKAGING,0.53
PT SUMANS MANDIRI SEJAHTERA,0.53
PT AFIT LINTAS JAYA,0.53
PT BUMI KONAWE ABADI,0.53
PT BUMI PETRA MAKMUR,0.53
PT COR INDUSTRI INDONESIA,0.53
PT ITAMATRA NUSANTARA,0.53
PT KAWASAN INDUSTRI CENTRAL OMEGA,0.53
PT MACROLINK OMEGA ADIPERKASA,0.53
PT MEGA BUANA RESOURCES,0.53
PT MULIA PACIFIC RESOURCES,0.53
PT JINSHENG MINING,0.53
PT OLYMPIC KAPITAL EQUITY,0.53
PT ANDALAN UTAMA BINTARA,0.53
BIBIT INDONESIA,0.52
PT MALINDO FOOD DELIGHT,0.52
PT MITRA BEBEK PERSADA,0.52
PT PRIMA FAJAR,0.52
PT QUALITY INDONESIA,0.52
PTLEONG AYAMSATU PRIMADONA,0.52
PT SEHAT CERAH INDONESIA,0.52
