Nama,Betweenness
POLYCHEM INDONESIA TBK,31225.46
PT DHARMA SATYA NUSANTARA TBK,30778.95
PT AGUNG PODOMORO LAND TBK,30639.05
KAWASAN INDUSTRI JABABEKA TBK,30455.78
KRAKATAU STEEL (PERSERO) TBK,30214.28
AGUS DWI HANDAYA,30033.26
ARTHUR ANGELO SYAILENDRA,29843.0
ARGO PANTES TBK,29825.0
TIMOTHY UTAMA,29819.8
PT SINAR DIGITAL TERDEPAN,29486.12
PT ISPAT BUKIT BAJA,29400.45
PT SARANA KENCANA MULYA,29317.86
ASURANSI HARTA AMAN PRATAMA TBK,28844.09
DARMA HENWA TBK,27916.0
WINTERMAR OFFSHORE MARINE TBK,27912.5
PT CIKARANG LISTRINDO TBK,27887.0
EDDY K SARIAATMADJA,27886.0
BAKRIE SUMATERA PLANTATIONS TBK,27565.91
PT JAYA SUKSES MAKMUR SENTOSA TBK,27333.56
PT DCI INDONESIA TBK,27200.19
GAVEN HOWARD,26831.83
SUKARDI TANDIJONO TANG,26737.47
AGUNG PRABOWO,26217.68
HANDOKO ANINDYA TANUADJI,25932.5
PT MANDALA MULTIFINANCE TBK,25921.5
PT BHUMI RANTAU ENERGI,25857.0
PT PAM MINERAL TBK,24966.47
SALIM IVOMAS PRATAMA TBK,24778.48
MUH TAHIR,24562.55
PT CAHAYAPUTRA ASA KERAMIK TBK,24555.65
HERIYANTO,24312.91
PETROSEA TBK,23949.67
RISDA YULITA,23929.88
ZAINAL HADI HAS HB,23880.43
JEFFRY HALIM,23880.0
PT MERDEKA COPPER GOLD TBK,23856.36
KEDAWUNG SETIA INDUSTRIAL TBK,23697.32
PT BALI BINTANG SEJAHTERA TBK,22931.4
MUHAMMAD IQBAL,22692.46
SUMIHAR MANURUNG,22679.93
INDIKA ENERGY TBK,22474.41
PT SENTRAL MITRA INFORMATIKA TBK,22386.84
PT INTI ANUGERAH PRATAMA,22385.72
SEMEN INDONESIA (PERSERO) TBK,22068.81
PT DAYAMITRA TELEKOMUNIKASI TBK,21956.0
MARTIN SUHARLIE,21956.0
PT BANK RAYA INDONESIA TBK,21956.0
INDOPOLY SWAKARSA INDUSTRY TBK,21953.0
PT DIGITAL MEDIATAMA MAXIMA TBK,21949.0
MUMIN ALI GUNAWAN,21928.0
TJENDRAWATI GUNADI,21901.0
PT GLOBAL MEDIACOM TBK,21901.0
TUNAS BARU LAMPUNG TBK,21833.62
AGUS SALIM,20987.68
PT TUNAS RIDEAN TBK,20941.4
ARGHA KARYA PRIMA IND. TBK,20387.84
PT DMS PROPERTINDO TBK,20351.67
TIGARAKSA SATRIA TBK,20349.27
NELLY TADI BAU,20338.05
HARY TANOESOEDIBJO,19964.0
PT BLUE BIRD TBK,19963.0
SUKARTO BUJUNG,19945.0
PT SURYA SEMESTA INTERNUSA TBK,19944.0
BANK SINARMAS TBK,19929.0
PT HARMONI PANCA UTAMA,19922.0
NOTARIZA TAHER,19920.0
PT TRIPUTRA AGRO PERSADA TBK,19620.28
SIGIT WIDYAWAN,19614.88
T PERMADI RACHMAT,19554.12
PT KAPUAS PRIMA COAL TBK,19405.44
PT DHARMA POLIMETAL TBK,18972.39
THE NING KING,18965.0
PT ITAMA RANORAYA TBK,18634.09
PT JASA ARMADA INDONESIA TBK,18492.57
SARANA MEDITAMA METROPOLITAN TBK,17975.0
PT BANK IBK INDONESIA TBK,17973.0
PT BANK INA PERDANA TBK,17973.0
PT BANK OCBC NISP TBK,17973.0
ATLAS RESOURCES TBK,17970.0
HENDRA,17962.0
PT BANK NATIONALNOBU TBK,17937.0
PT TOURINDO GUIDE INDONESIA TBK,17911.49
PT SUNGAI BUDI,17366.97
JONATHAN TAHIR,16498.92
SAUD USMAN NASUTION,16391.8
PT YAMAZAKI INDONESIA,16386.84
PT KIDECO JAYA AGUNG,16386.84
WILLEM LOUIS CHAREL KALAIJ,16265.07
PT SAMPOERNA AGRO TBK,16079.94
BANK VICTORIA INTERNATIONAL TBK,15980.0
BFI FINANCE INDONESIA TBK,15979.0
PT DIAMOND FOOD INDONESIA TBK,15979.0
PT TRIMEGAH KARYA PRATAMA TBK,15977.5
KOPERASI LANGGAI BERSAMA,15974.0
DESTINASI TIRTA NUSANTARA TBK,15970.0
ACHMAD KALLA,15965.0
RACHMAT MULYANA HAMAMI,15965.0
MUHAMMAD HANUGROHO,15952.0
SUTANTO JOSO,15952.0
SEUNG YOUN KIM,15952.0
TJENDRAWATI,15952.0
BESFUL ZUBIR,15952.0
PT MITRABARA ADIPERDANA TBK,15914.49
ARIF RACHMAT,15457.3
MULIA INDUSTRINDO TBK,15393.29
SUPRA BOGA LESTARI TBK,15220.13
STAR PACIFIC TBK,15085.66
PT HOTEL FITRA INTERNATIONAL TBK,14921.81
VALE INDONESIA TBK,14917.3
TATANG HERMAWAN,14895.0
ALING HERMAWAN,14895.0
PT SINAR MAS MULTIARTHA TBK,14628.05
PT PROVIDENT INVESTASI BERSAMA TBK,14298.54
SANTOSO,14250.18
PT BANK PANIN DUBAI SYARIAH TBK,13986.0
PT VICTORIA INSURANCE TBK,13986.0
ALKINDO NARATAMA TBK,13986.0
PT WASKITA BETON PRECAST TBK,13986.0
PT MITRA PINASTHIKA MUSTIKA TBK,13986.0
LIPPO GENERAL INSURANCE TBK,13986.0
PT BUANA KONTENINDO EXPRESS,13985.0
BINTANG MITRA SEMESTARAYA TBK,13983.0
TRIHATMA KUSUMA HALIMAN,13982.0
DEDI MULYADI,13965.0
MICHAEL J P WIDJAJA,13911.3
THEODORE PERMADI RACHMAT,13891.39
DIDIK JUNAIDI RACHBINI,13544.4
INDRA WIDJAJA,13503.81
APEXINDO PRATAMA DUTA TBK,13460.2
FARID HARIANTO,13319.02
LAWRENCE BARKI,12985.5
JAY GEOFFREY WACHER,12946.0
WAHYU HIDAYAT,12882.53
PT ELECTRONIC CITY INDONESIA TBK,12639.92
ADHIKA ANDRAYUDHA BAKRIE,12264.91
PT SARATOGA INVESTAMA SEDAYA TBK,12205.18
PT BUMI SERPONG DAMAI TBK,12117.53
INTILAND DEVELOPMENT TBK,12045.91
BARITO PACIFIC TBK,11995.2
SURYA CITRA MEDIA TBK,11993.5
PT BERLIAN MITRA INTI,11992.5
PT BUKIT ULUWATU VILLA TBK,11991.0
PT ULIMA NITRA TBK,11991.0
BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK,11991.0
JAPFA COMFEED INDONESIA TBK,11988.0
JOHANNES SURIADJAJA,11985.0
