Nama,Betweenness
PT PENTABIZ INTERNATIONAL,0.0
EMILIO SHAREEF WIBISONO,0.0
PT SINBAD KARYA PERDAGANGAN,0.0
AGUS SUPRIYADI,0.0
PT NICESO SUKSES INDONESIA,0.0
KATHRYN ALEXIS DUGAN,0.0
PT ENERGIZER INDONESIA,0.0
HERMAN THE,0.0
PT BINTANG INTER GLOBAL,0.0
LIM DUK JIN,0.0
PT MIWON INDONESIA,0.0
YOHANES PRATONDO,0.0
PT ARMADA INDONESIA MANDIRI,0.0
VINCENT SUKOTJO,0.0
PT TRANS ENERGY OPTIMA,0.0
CHEN ZHENXIU,0.0
PT GUONENG MINING INVESTMENT,0.0
SUHARDI GUNAWAN HALIM,0.0
PT ARISU INDONESIA,0.0
RUDY DAVE LIU,0.0
PT NUGEN FARMA MEDIKA,0.0
LI CHENG,0.0
PT CNGR DING XING NEW ENERGY,0.0
DAVID SURYADI,0.0
PT DANINDO TAPE PACKAGING INDUSTRY,0.0
WIRYAWAN CHANDRA,0.0
PT UNITAMA SINERGI SUKSES,0.0
LO RENDY HARYO PANGESTU,0.0
PT GRAMAR JAYA,0.0
DICKY SUSANTO,0.0
PT MULTI KENCANA NIAGATAMA,0.0
ARIYA CHANDRA,0.0
PT CHANDRA MITRA STRUKTURINDO,0.0
DARMANTO,0.0
PT KOKOH BANGKIT PERKASA,0.0
LILIM VALENDRA,0.0
PT LANCAR LAJU MEMBANGUN,0.0
DENNY TJIPUTRA,0.0
PT KARYA CIPTA BANGUN MANDIRI,0.0
BORYIN WU,0.0
PT UNIONINDO STEEL INDUSTRY,0.0
MARLIANE ANGGRAINI SEBASTIAN,0.0
PT NUSA ELANG SATRIA,0.0
DADAN KURNIAWAN,0.0
CV KARUNIA MULTI DAYA,0.0
TIARO ITA SIMAMORA,0.0
PT BINTANG ANUGRAH SAMUELRENO,0.0
MUHAMMAD ARIFIN NASUTION,0.0
PT LOKITA KARYA BERSAMA,0.0
ANTONIUS PUTUT SAPTOTRI,0.0
PT BEST TIRTA TECHNOLOGY,0.0
HUANG WEIFENG,0.0
PT LESTARI SMELTER INDONESIA,0.0
FENG XIANGBAO,0.0
PT WANXIANG NICKEL INDONESIA,0.0
PETRUS KOSASI KARTO,0.0
PT JASA SEMESTA UTAMA,0.0
DJONY SUDJANA DANUBRATA,0.0
PT DANTOSAN PRECON PERKASA,0.0
AMIR PHENDY,0.0
PT MULTIDAYA TEKNIK PRAKARSA,0.0
HENDRA TANUJAYA,0.0
PT MITRA SEKAWAN PRIMA,0.0
SUMIDI,0.0
PT ANDIKA BANGUN NUSANTARA,0.0
JANNER TANDRA,0.0
PT MAJUKARYA MANDIRI INDONESIA,0.0
LUTFI NAZI,0.0
PT BAKTI ENERGI SEJAHTERA,0.0
DJAKA WINARSO,0.0
PT BUMIRESIK NUSANTARA RAYA,0.0
ROLLY RAHADIAN,0.0
PT RASYA UTAMA,0.0
EDDY IRSAN SIREGAR,0.0
PT TITIAN BINAMIR METAL,0.0
TRIYAMI UTAMININGSIH,0.0
PT REKAYASA ENGINEERING,0.0
YU HONGBO,0.0
GREATWALL DRILLING ASIA PACIFIC,0.0
AGUSMAN,0.0
PT BERKAT MANUNGGAL ENERGI,0.0
SATIMIN,0.0
TAMAN BUKIT MAS,0.0
KIKI RIZKI AULIA,0.0
PT WAHANA LOGISTIK SEMESTA,0.0
SRI MULYONO HERLAMBANG,0.0
PT WAHANABHARA BHAKTI,0.0
MEI SURYAWAN,0.0
PT KALTIM NITRATE INDONESIA,0.0
HSIEH CHENC HANG,0.0
PT LUCKY TOP METALS,0.0
SUEDI HUSEIN,0.0
PT BINASAWIT ABADI PRATAMA,0.0
GWIE SUCIATI KRISNADI,0.0
PT KARYAWAJA EKAMULIA,0.0
LANY WATI,0.0
PT UNGGUL PRAKARSA PRISMA,0.0
MARTIN ADAM,0.0
PT PROMEDRAHARDJO FARMASI INDUSTRI,0.0
ALLAN GAUTAMA,0.0
PT ANEKA CIPTA,0.0
IRWAN SUSIANTO S,0.0
PT AGRITAMA MULTI SARANA,0.0
CHANDRA HALIM,0.0
PT MAHAKARYA SENTRA ENERGI,0.0
TANDJUNG MARGONO,0.0
PT RUMAH KARYA ENTERTAINMENT,0.0
DAVID HERMAN JAYA,0.0
PT MEKAR ARMADA JAYA,0.0
HERMAN SUGALIH,0.0
CV KARYA INDAH LAKSANA,0.0
MARK ALAN LOYND,0.0
ASURANSI DAYIN MITRA TBK,0.0
PT KHARISMA PLASTIK INDO,0.0
ANFARUDIMAN SURYA SUNARDI,0.0
AKAM,0.0
PT PALAPA RING BARAT,0.0
PT INFRASTRUKTUR BISNIS SEJAHTERA,0.0
JOHN DHARMA J KUSUMA,0.0
PT BANK ALADIN SYARIAH TBK,0.0
AGUNG HADI TJAHJANTO,0.0
H ABDUL ZAFAR,0.0
ANIRBAN ASIT KUMAR GHOSH,0.0
PIONEERINDO GOURMET INTERNATIONAL TBK,0.0
BAYU BUANA TBK,0.0
MUALLIM,0.0
WASITO,0.0
EMIL,0.0
AGUS WIDAGDO,0.0
KARMAN TANDANU,0.0
GAN GIOK LIE,0.0
HENDRA SURYADI,0.0
LUKITO WINARTO,0.0
SASTRO WIJATNO,0.0
AKSHAY GARG,0.0
HU BO,0.0
LI WENBO,0.0
NOBUYOSHI FUJISAWA,0.0
PT BANK JTRUST INDONESIA TBK,0.0
ZULKIFLI HASAN,0.0
MUHAMMAD LUTFI,0.0
PT MULTI BERKAT ENERGI,0.0
ANCORA INDONESIA RESOURCES TBK,0.0
ROMO NITIYUDO WACHJO,0.0
ANDRA SONI,0.0
PARIKESIT SUPRAPTO,0.0
JERRY NG,0.0
RUDY PURNOMO,0.0
PT BHAKTI MULTI ARTHA TBK,0.0
KHOFIFAH INDAR PARAWANSA,0.0
ALBERTUS YULIAN HERY ERNANTO,0.0
TAN SIEW LAN NANCY,0.0
RAHMAT MULIA S,0.0
ANDERSON SUMARLLI,0.0
MUHAMMAD NOVAN AMIRUDIN,0.0
SJAHRIL SABARUDDIN,0.0
RAFLY TUNGGAL PUTRA,0.0
EVA RACHMAYANI,0.0
PT MNC OTT NETWORK,0.0
BUDI WIJAYA,0.0
SUSENO WIJAYA,0.0
MUHAMAD NURHADI,0.0
SALMAN FAISOL,0.0
PT KERETA CEPAT INDONESIA CHINA,0.0
SON TAE SEUNG,0.0
KARTINI JUSUP,0.0
PT BATAVIA PROSPERINDO TRANS TBK,0.0
SETIAWAN ALUWI,0.0
INDAH PUSPITA SARI,0.0
KARTIKA HAMAMI,0.0
IMELDA TIO,0.0
TINAH,0.0
YOSE RIZAL,0.0
SURYAMAS DUTAMAKMUR TBK,0.0
DUTA PERTIWI TBK,0.0
TJENDRAWATI GUNAWAN,0.0
PT SARANA KELOLA SEJAHTERA,0.0
SIS APIK WJAYANTO,0.0
PT ABADI ADIMULIA,0.0
PT OBSIDIAN STAINLESS STEEL,0.0
PT JHONLIN GROUP,0.0
DHARMA MUNTHE,0.0
SOANANTO,0.0
PT INDAH JAYA TEXTILE INDUSTRY,0.0
PT BUMI SEKUNDANG ENIM ENERGY,0.0
ADRIANA,0.0
PT SARANA MEDITAMA ANUGERAH,0.0
KIMIA FARMA TBK,0.0
PT LADANG SAWIT MAS,0.0
OESMAN SAPTA,0.0
MARTUA SITORUS,0.0
PT CEMINDO GEMILANG TBK,0.0
TAN SRI ANTHONY FRANCIS FERNANDES,0.0
DATUK KAMARUDIN BIN MERANUN,0.0
PT PERMATA BINTANG BORNEO,0.0
PT TRANS JAYA PERKASA,0.0
DWI CAHYA PUTRANTO ISMAN,0.0
BUDIANTO,0.0
PT WIRA SADANA LESTARI,0.0
EDWARD SOFIANANDA,0.0
PT TRIDUTA MITRA SEJAHTERA,0.0
RICCI PAULI SAPUTRA,0.0
CV NUTRINDO PANGAN,0.0
GUFRON SYARIF,0.0
PT INSPIRASI BISNIS NUSANTARA,0.0
BERNARD THEDYARDI,0.0
STEFANUS,0.0
DWI CAHYO NUGROHO,0.0
PT QUAKER INDONESIA,0.0
BISIR,0.0
PT CATURDAYA SEMBADA,0.0
HENDRIKO WIJAYA,0.0
PT DAYACIPTA KEMASINDO,0.0
WANG MINGFAN,0.0
PT DBFF BOTON INDONESIA,0.0
LAURENT ANGELO SIGISMONDI,0.0
PT DKSH INDONESIA,0.0
FENDY LIEMANA,0.0
PT SARANA KEMASINDO PLASTIK,0.0
HANSEN SETIAWAN,0.0
KARISMA KAMDANI,0.0
PT TEGAR INTI SENTOSA,0.0
PT MAHKOTA ANDALAN SAWIT,0.0
PT APLIKASI KARYA ANAK BANGSA,0.0
SUDIN,0.0
ABDI NEGARA NURDIN,0.0
YANSEN SETIAWAN NOER,0.0
PT HARRISMA INFORMATIKA JAYA,0.0
SOEKENO,0.0
PT PUTRA SLEMAN SEMBADA,0.0
DIDIK HARTONO,0.0
PT SOEDALI SEJAHTERA,0.0
GANNYES LUKYTO,0.0
PT TRITUNGGAL SUKSES PRATAMA,0.0
KAGETIN,0.0
PT EKATUNGGAL TUNAS MANDIRI,0.0
JEFFRI MASSIE,0.0
PT MASSINDO KARYA PRIMA,0.0
JACKSON MASSIE,0.0
PT MASSINDO SOLARIS NUSANTARA,0.0
PT MITSUBISHI MOTORS KRAMA YUDHA INDONESIA,0.0
YEN MING LUNG,0.0
PT SARANA UTAMA INDONESIA,0.0
SHIM JAE HYUNG,0.0
PT ZINUS GLOBAL INDONESIA,0.0
MITSUHIKO HISATO,0.0
PT HANWA INDONESIA,0.0
DEDI IRAWAN SINUHAJI,0.0
PT INDO KIDA PLATING,0.0
SEIJI KATSUMOTO,0.0
PT THREEBOND GARPAN SALES INDONESIA,0.0
KUSNADI BUDIMAN,0.0
PT HONDA PROSPECT MOTOR,0.0
MASAYA NAKAMURA,0.0
PT TD AUTOMOTIVE COMPRESSOR INDONESIA,0.0
AGUS JAKA PRASAJA,0.0
PT ANUGERAH COVINDO INDONESIA,0.0
JULIUS SUGANDHY,0.0
PT IDEXPRESS LOGISTIK INDONESIA,0.0
BAEK BOK IN,0.0
PT KOREA TOMORROW & GLOBAL INDONESIA,0.0
TRI KUSNO WIBOWO,0.0
PT LUXENA VICTORY INDONESIA,0.0
MOHAMAD FERIADI,0.0
ADI GUNAWAN,0.0
PT ADIJAYA KARYA MAKMUR,0.0
IRAWAN SUHUD,0.0
PT DELTA MUTIARA AMARTA,0.0
PT CAKRA MANUNGGAL SEMESTA,0.0
FAJAR SUHENDRA,0.0
PT SUMAGUD SAPTA SINAR,0.0
ANDEREAS,0.0
PT PROSIS CHEMINDO NUSANTARA PRIMA,0.0
WISMIN,0.0
PT LOTUS MAS,0.0
ANTOINE BERNARD DE SAINT AFFRIQUE,0.0
PT TIRTA INVESTAMA,0.0
YANNICK CHALME,0.0
PT YASULOR INDONESIA,0.0
YODIJANTO KUSNADI,0.0
PT ASTI INDOGRAPH,0.0
JONI TRESNOHADI,0.0
PT RAPID PLAST INDONESIA,0.0
JUANTO HALIM,0.0
CIKAL JAYA PERMAI,0.0
KELVIN TEDDY,0.0
PT ATLANTIS TRANS LOGISTIK,0.0
LIM THOMAS,0.0
PT MAKIN BERKEMBANG TERUS,0.0
GWAK HENG IL,0.0
PT SURYA STEEL,0.0
ARESDI MAHDI ASYATHRY,0.0
PT AL ARES INDONESIA,0.0
ROBIN LO,0.0
PT GLOBAL JET EXPRESS,0.0
ERLYANI NURHAYATI,0.0
RENA DEWI SATITI,0.0
PT TINATA SUKSES MANDIRI,0.0
CHIRAGH MANUHAR KIRPALANI,0.0
PT AYOPOP TEKNOLOGI INDONESIA,0.0
DHANA GALINDRA,0.0
PT DUTA DAYA DIGITAL,0.0
BERNHARD AGUS SUBIAKTO,0.0
PT FORMASI AGUNG SELARAS,0.0
PT GOOGLE INDONESIA,0.0
PT GOOGLE CLOUD INDONESIA,0.0
MELISSA ANN MULHOLLAND,0.0
PT MITRA MURNI PERKASA,0.0
PT GRAB TEKNOLOGI INDONESIA,0.0
PT VISIONET INTERNASIONAL,0.0
PT MNC GUNA USAHA INDONESIA,0.0
PT MNC INFRASTRUKTUR UTAMA,0.0
PT TUNAS INTI ABADI,0.0
PT GRAND INDONESIA,0.0
MUHAMMAD PAISAL,0.0
NOVI,0.0
MUHAMMAD BAHARSAH DIAH,0.0
B RAKSAKA MAHI,0.0
CHARLON SITUMEANG,0.0
RIZKAN FIRMAN,0.0
SIMP,0.0
PT PANORAMA HOSPITALITY MANAGEMENT,0.0
PT KEVA COSMETICS INTERNASIONAL,0.0
PT TRUBAINDO COAL MINING,0.0
PT KALTIM PRIMA COAL,0.0
PT PETROKIMIA GRESIK,0.0
PT CHITRA PARATAMA,0.0
PT BUMI MINERAL SULAWESI,0.0
PT MANDIRI BANGUN MAKMUR,0.0
PT PUSAKA BUANA UTAMA,0.0
PT ARUTMIN INDONESIA,0.0
PT LAZULI KARYA SARANA,0.0
PT ELNUSA PETROFIN,0.0
PT FURUKAWA INDOMOBIL BATTERY MANUFACTURING,0.0
PT PERMATA BIRAMA SAKTI,0.0
PT BANK MULTIARTA SENTOSA TBK,0.0
PT MORA TELEMATIKA INDONESIA TBK,0.0
GOWA MAKASSAR TOURISM DEVELOPMENT TBK,0.0
PT ASURANSI MAXIMUS GRAHA PERSADA TBK,0.0
PT GLOBAL CHEMINDO MEGATRADING,0.0
PT INDOLAKTO,0.0
PT ALTRAK 1978,0.0
PT SANGHIANG PERKASA,0.0
CHAROEN POKPHAND INDONESIA TBK,0.0
ENSEVAL PUTERA MEGATRADING TBK,0.0
PT ZEBRA ENERGI,0.0
MARIA AGUS TRI SUSANTI,0.0
SANDRA EVRINA MAMBU,0.0
HENRY HUSADA,0.0
PT ANUGERAH KAGUM KARYA UTAMA TBK,0.0
TRIKOMSEL OKE TBK,0.0
PT GLOBE KITA TERANG TBK,0.0
PT VISI MEDIA ASIA TBK,0.0
PT HIMALAYA ENERGI PERKASA TBK,0.0
PT VODA INDONESIA,0.0
PT SURYA CITRA TELEVISI,0.0
PT ESTIKA CIPTA ABADI,0.0
PT PERTAMINA GAS,0.0
PT SUMBERDAYA SEWATAMA,0.0
PT SATRIA BAHANA SARANA,0.0
PT SEMESTANUSTRA DISTRINDO,0.0
PT AGUNG AUTOMALL,0.0
PT ANUGERAH INDOFOOD BAROKAH MAKMUR,0.0
PT JAYA DISTRIBUSI RITEL,0.0
PT ZKDIGIMAX EXCEL NOBLE,0.0
PT BATULICIN ENAM SEMBILAN SECURITY,0.0
PT BINA MUARA RAYA,0.0
PT SEBAMBAN TERMINAL UMUM,0.0
PT CITRA BERDIKARI BERSAMA,0.0
MELATI SINAGA,0.0
INDRIA,0.0
HANDOKO LIE,0.0
SUPRIYANTO,0.0
ANDRIANSYAH,0.0
ROBERTUS BISMARKA KURNIAWAN,0.0
ARI HUTOMO TEDJA SURYA,0.0
PT AUTO GLASS INDONESIA,0.0
ASAHIMAS FLAT GLASS TBK,0.0
CILIANDRA FANGIONO,0.0
PT AUSTINDO NUSANTARA JAYA TBK,0.0
MICHAEL RIADY,0.0
FUAD HASAN MASYHUR,0.0
EQUITY DEVELOPMENT INVESTMENT TBK,0.0
WELLY SUSANTO,0.0
HANAFI ATMADIREDJA,0.0
ANTON BUDIMAN,0.0
LOUDY IRWANTO ELLIAS,0.0
IWAN HADIANTORO,0.0
WIDJAJA KARTIKA,0.0
VILIHATI SURYA,0.0
ARI SUTRISNO,0.0
HENDRA HUTAHEAN,0.0
KONOSUKE MIZUTA,0.0
PT MIZUHO LEASING INDONESIA TBK,0.0
IWAN SETIAWAN,0.0
PT BANGUN LAKSANA ABADI,0.0
EKA HADI DJAJA,0.0
PT TRI SEJAHTERA PRATAMA,0.0
LIM AUN SENG,0.0
PENG TJOAN,0.0
PRIJONO SUGIARTO,0.0
HARJANTO TIRTOHADIGUNO,0.0
PT SAMUDERA ENERGI TANGGUH,0.0
PT TARAKA JAYA SAMUDERA,0.0
BAMBANG WIDJANARKO E S,0.0
PT BANK CAPITAL INDONESIA TBK,0.0
PT METRO HEALTHCARE INDONESIA TBK,0.0
PT CAPITAL FINANCIAL INDONESIA TBK,0.0
JOHNNY SWANDI SJAM,0.0
SIANG HADI WIDJAJA,0.0
ADIRA DINAMIKA MULTI FINANCE TBK,0.0
MUHAMMAD BAHRUDDIN,0.0
PT DAYA BETON INDONESIA,0.0
SUNARDI,0.0
PT SARANA ARTHA LESTARI,0.0
REINA KUMALA KWEE,0.0
HADI SURYA,0.0
PT PLN INDONESIA POWER,0.0
PT PELAYARAN BAHTERA ADHIGUNA,0.0
DATO KHAIRUSSALEH RAMLI,0.0
PT BANK MAYBANK INDONESIA TBK,0.0
RIONALDO THEDYARDI,0.0
PT DUA PUTRA BARKAH NUSANTARA,0.0
PT BUMIMULIA INDAH LESTARI,0.0
PT BUKITMEGA MASABADI,0.0
SANTO FRANSISCUS,0.0
PT OLYMPIC FURNITURE GEMILANG,0.0
IBRAHIM HASAN,0.0
STEPHEN KURNIAWAN SULISTYO,0.0
DHARMA SAMUDERA FISHING IND TBK,0.0
TODDY MIZAABIANTO SUGOTO,0.0
HANDHIANTO SURYO KENTJONO,0.0
PT SERPONG MAS TELEMATIKA,0.0
CHRISTIAN SUGIARTO,0.0
MANIWANEN,0.0
MARISSA JEANNE MAREN BARAGAR,0.0
FARHAN RIO GUNAWAN,0.0
TAN ENK EE,0.0
SWEN NEUFELDT,0.0
HERRY WIJAYA,0.0
PT MENTENG HERITAGE REALTY TBK,0.0
FERRIYADY HARTADINATA,0.0
LINA,0.0
WELLY,0.0
SUPARMA TBK,0.0
ISTANTO BURHAN,0.0
PT THE MASTER STEEL MANUFACTORY,0.0
SRI PRAKASH LOHIA,0.0
AMIT LOHIA,0.0
KIKI SYAHNAKRI,0.0
PT PANAH DUNIA PERKASA,0.0
MERYANA HARTONO,0.0
PT PRIMA HONEYCOMB INTERNATIONAL,0.0
ROBERTO CALLIERI,0.0
PT JAYA BERDIKARI CIPTA,0.0
SIMON SUBRATA,0.0
INDOCEMENT TUNGGAL PRAKARSA TBK,0.0
HERRY ARDIANTO,0.0
PT ADHI PERSADA BETON,0.0
PT ISS FACILITY SERVICES,0.0
PT ISS INDONESIA,0.0
KENNARD JR S KURNIA,0.0
MAURITS DR LALISANG,0.0
GE LUIYANTO YAMIN,0.0
DARMA PUTRA WATI,0.0
PT DIMATIQUE INTERNATIONAL,0.0
PT ESHAM DIMA MANDIRI,0.0
PT KURNIAMITRA DUTA SENTOSA TBK,0.0
ASURANSI JASA TANIA TBK,0.0
PT ETERNAL BUANA CHEMICAL INDUSTRIES,0.0
PT ETERINDO NUSA GRAHA,0.0
ANDY ADHIWANA,0.0
LAU CHIA NGUANG,0.0
PT LEONG HUP JAYAINDO,0.0
ADRIAN SYARKAWI,0.0
PT AKASIA DAMCORP WABA,0.0
CHIN KIEN PING,0.0
ANDRE,0.0
PT DAIDAN UTAMA PIALANG ASURANSI,0.0
RATNA HANDANA,0.0
HERMAN,0.0
PT TRANS RETAIL INDONESIA,0.0
PT TRANS DIGITAL MEDIA,0.0
PT INDONUSA TELEMEDIA,0.0
PT ALFA RETAILINDO TBK,0.0
PT TRANS PROPERTI INDONESIA,0.0
PT HARDAYA MINING ENERGY,0.0
PT BERCA HARDAYAPERKASA,0.0
RUTH DEWI ROSILA WIDJAJA,0.0
ERICK WIHARDJA,0.0
ADITYA WISNU WARDHANA,0.0
YOSHIHIRO KOBI,0.0
BONNY HARRY,0.0
TAKASHI KAN,0.0
YOSHIYUKI IWASE,0.0
UBAIDILLAH NUGRAHA,0.0
SURYAMIN HALIM,0.0
TAKUMI TERAKAWA,0.0
TAKEYUKI MATSUURA,0.0
SRI HARYANI,0.0
KURNIAWAN YUWONO,0.0
PUDJI HARIANTO,0.0
POEDJI HARIXON,0.0
HENRY BUDIONO,0.0
SOELIANA TANUMIHARDJO,0.0
SUHENDRA PRAWIRAWIDJAJA,0.0
SAMUDERA PRAWIRAWIDJAJA,0.0
BURHAN TJOKRO,0.0
ULUNG WIJAYA,0.0
MERTJE TJOKRO,0.0
JATI SIMINA,0.0
TUTI NUARNI,0.0
MERTY TJOKRO,0.0
ERNAWATI ALI,0.0
STEFANIE DJAJALI,0.0
ANDI W SETIANTO,0.0
NALINKANT A RATHOD,0.0
PT BHASKARA MITRA MANUNGGAL,0.0
BAYU IRIANTO,0.0
BS VINAYAK,0.0
WILLY SAELAN,0.0
BAMBANG SUMARGONO,0.0
JACQUELINE BASTIAAN WIJAYA,0.0
ADE WAHYU,0.0
AHMAD FADLI KARTAJAYA,0.0
WIRA NATAPRAJA,0.0
RIKY BOY H PERMATA,0.0
PT TRIMEGAH SUMBER MAS,0.0
PT INDO GLOBAL CENTRALINDO,0.0
HENDRO TJAHJONO,0.0
RANGGA ANANTA,0.0
SUMARDI WIDJAJA,0.0
HENNY SOETANTO,0.0
LUHUR DINO HERLAMBANG,0.0
ALDO JUSUF TJAHAJA,0.0
SULISTIJOWATI,0.0
TOMI PARISIANTO WIBOWO,0.0
JIMMY PAULUS WATULINGAS,0.0
SUWANDI SUHARTO,0.0
FATCHURHUDA,0.0
ROSALINA GUNAWAN,0.0
PT WIJAYA KARYA KRAKATAU BETON,0.0
HARTANTO KARTI RAHARJO,0.0
DWI PURNOMO,0.0
BAGUS TRI SETYANA,0.0
TOMO DWI HASPUTRO,0.0
JOSEPH PRAJOGO,0.0
DANIS HIDAYAT SUMADILAGA,0.0
TAUFAN GESTORO,0.0
SULI FATIMAH,0.0
ANGRETA CHANDRA,0.0
TIODORA AMRAN BONARDY,0.0
EDGAR SURJADI,0.0
ANDRIANTO PUTERA TIRTAWISATA,0.0
ROMY FIRMANGUSTRI,0.0
ERWIN SENJAYA HARTANTO,0.0
HENDY RUSLI,0.0
IKIN WIRAWAN,0.0
PT JAKARANA TAMA,0.0
PT KREASI KODE DIGITAL,0.0
INDAHTATI WIDJAJADI,0.0
STEPHEN WALLA,0.0
RONALD WALLA,0.0
SUGITO WINARKO,0.0
PT WIJAYA KARYA INDUSTRI DAN KONSTRUKSI,0.0
PT WIJAYA KARYA REALTY,0.0
PT WIJAYA KARYA INDUSTRI & KONSTRUKSI,0.0
HANANTO AJI,0.0
HARUM AKHMAD ZUHDI,0.0
HADJAR SETI ADJI,0.0
SUMADI,0.0
LIU YUT MEN,0.0
RUSSIANA,0.0
WAHYU MARDIYANTI,0.0
MACHFUDZ HASAN SYAMSU,0.0
MUHAMAD SHANIE MUBARAK,0.0
PINKY NK,0.0
JOHNSON WILLIANG SUTJIPTO,0.0
SUGIMAN LAYANTO,0.0
NELY LAYANTO,0.0
JANTO LILI,0.0
PT WIDODO MAKMUR PERKASA TBK,0.0
PT WIDODO MAKMUR UNGGAS TBK,0.0
STEPHANIE KANE ILHAM,0.0
PT INTEGRIYA DEKORINDO,0.0
PT KREASI INTI SEJATI,0.0
SYANY TJANDRA,0.0
PT INTERTREND UTAMA,0.0
PT ALAM MENTARI SEJAHTERA,0.0
WANG SUTRISNO,0.0
ROBBY ADIJAYA,0.0
PT GINTING JAYA ENERGI TBK,0.0
SANTOS GUNAWAN MATODANG,0.0
PRASETYO SUHARTO,0.0
SHINJI FUKAMI,0.0
AINUL YAQIN,0.0
EDI SARWONO,0.0
ASRUDDIN,0.0
YASUHIDE ABE,0.0
HUSNEDI,0.0
CHRISTINA ARYANI,0.0
SATYA BHAKTI PARIKESIT,0.0
AGUNG BUDI MULYANTO,0.0
SAOR SIAGIAN,0.0
ANDRIANO HOSNY PANANGIAN,0.0
DICKY SAELAN,0.0
RENI WULANDARI,0.0
DENNIS PRATISTHA,0.0
LYDIA SILVANNA DJAMAN,0.0
RATNA IRSANA,0.0
HADI SETIADI,0.0
ANG KINARDO,0.0
TAN FRANCO AGUNG,0.0
HERRYANTO SETIONO HIDAYAT,0.0
PT BERAU COAL ENERGY TBK,0.0
PT SKS LISTRIK KALIMANTAN,0.0
PT KUANSING INTI MAKMUR,0.0
PT BUNGO BARA UTAMA,0.0
PT BUNGO BARA MAKMUR,0.0
HARTO DJOJO NAGARIA,0.0
LILIAWATI RAHARDJO,0.0
PT RUBBERINDO UNGGUL PERKASA,0.0
PT MANGATUR DHARMA,0.0
PT ANUGERAH ANEKA INDUSTRI,0.0
DJOJO HARTONO,0.0
RONI KUNTO,0.0
SUMARNI,0.0
PAMELA HIDAJAT,0.0
ELISHEA HIDAJAT LIN YI,0.0
LEONARD HIDAYAT,0.0
SAPTO UTOMO HIDAJAT,0.0
DANIEL HIDAYAT,0.0
ALEXANDER HIDAJAT,0.0
SURJO LUHUR HIDAJAT,0.0
JASON HIDAJAT,0.0
ELAINE HIDAJAT,0.0
ISABEL HIDAJAT,0.0
HARDY SATYA,0.0
YOHAN SATYA,0.0
DIMAS ADIYASA WIRYAATMAJA,0.0
TAN GIOK NIO,0.0
HARRY WANGIDJAJA,0.0
VONNY KRISTIANI,0.0
HERMAN HERRY ADRANACUS,0.0
STEVANO RIZKI ADRANACUS,0.0
INDJUN,0.0
ROYS TANUDJAJA,0.0
ADHI SUDARGO TASMIN,0.0
GOH POH HENG,0.0
WILLIANTO ALIM,0.0
JOHAN GOJALI,0.0
REINHART MULJADI,0.0
IWAN TJAHJADI,0.0
BUDHI SANTOSO,0.0
BUDHI HARTONO,0.0
BUDHI MOELJONO,0.0
BIANTORO SETIJO,0.0
MULYADI UTOMO BUDHI MOELJONO,0.0
DEVIN WIRAWAN,0.0
SANDIAGA SALAHUDDIN UNO,0.0
THE JOK TUNG,0.0
WILSON EFFENDY,0.0
SONNY SATIA NEGARA,0.0
MOSFLY ANG,0.0
GO KOK SIANG,0.0
SHINDO SUMIDOMO,0.0
JUWITA WIJAYA,0.0
DAVID,0.0
RUDY GUNAWAN,0.0
AMIR SUNARKO,0.0
AMIRUDDIN ARRIS,0.0
BUBUN HASBULLAH,0.0
SIENNY MURNIAWANTI,0.0
UUN ROUDHOTUL JANNAH,0.0
SAMUEL SOFYAN TIKA,0.0
KATHRIN WIDJAJA,0.0
PT MASTERTAMA ADHI PROPERTINDO,0.0
GEORGE OETOMO,0.0
TJANDRA KARYA HERMANTO,0.0
BUDIARTO ABADI,0.0
ERIDA,0.0
ARI DARYATA SINGGIH,0.0
M ALFAN BAHARUDIN,0.0
JOHANNES B E TRIATMOJO,0.0
JANNES PHILIPUS CHUANG,0.0
SHAFRUHAN SINUNGAN,0.0
ANDREW SANUSI,0.0
HARNO HASJIM,0.0
LIDYA ANWAR,0.0
ANWAR TAY,0.0
ALEXANDER ANWAR,0.0
SUHARDI SUTIJONO,0.0
PT SUMBER KARYA SUKSES,0.0
AFFANDI,0.0
PT TIGA TEKNOLOGI PERSADA,0.0
ALAN JULIAN JIANG,0.0
PT BEAM MOBILITY INDONESIA,0.0
DJIE A LIE ALIYANTO,0.0
PT KAPUAS MUSI MADELYN,0.0
JOHN HENRY,0.0
PT MAJU MIX BERSAMA ABADI,0.0
HERWANDY TAHER YASIN,0.0
PT MATRA AGUNG PERSADA,0.0
MUFTI ARIMURTI,0.0
PT VARIA USAHA BETON,0.0
YUDIYANSYAH PRANATA,0.0
PT ZAZA ANUGERAH MANDIRI,0.0
FREDI FIRMANSYAH,0.0
PT KERETA API LOGISTIK,0.0
GINANJAR,0.0
CV SAMUDRA PANCA JAYA,0.0
PT SEMEN GRESIK,0.0
PT SINERGI MITRA INVESTAMA,0.0
PT SEMEN INDONESIA LOGISTIK,0.0
TINO DARUSMAN,0.0
PT SEMEN INDONESIA BETON,0.0
HENDRA BAYU,0.0
KOPERASI KELUARGA BESAR SEMEN PADANG,0.0
SUMARTO,0.0
PT TIGA DAYA ENERGI,0.0
DJI GOK JIEN,0.0
PT DERMAGA SUKSES JAYA ABADI,0.0
AMSYAH SEBAYANG,0.0
JONNY WONG,0.0
