Nama,PageRank
PT HASNUR INTERNASIONAL SHIPPING TBK,0.41
PT DJASA UBERSAKTI TBK,0.41
PT PERMADANI KHATULISTIWA NUSANTARA,0.41
PT MATAHARI GRAHA FANTASI,0.41
PT SAHABAT KOTA WISATA,0.41
CENTRAL PROTEINA PRIMA TBK,0.41
PT TEKNOLOGI KREASI BANGSA,0.41
PT SAWIT SUMBERMAS SARANA TBK,0.41
PT MAP BOGA ADIPERKASA TBK,0.41
PT COSCO SHIPPING LINES INDONESIA,0.41
MAYORA INDAH TBK,0.41
CIPUTRA DEVELOPMENT TBK,0.41
PT MEGAKARYA MAKMUR SENTOSA,0.41
PT URBAN JAKARTA PROPERTINDO TBK,0.41
HUMPUSS INTERMODA TRANSPORTASI TBK,0.41
PT INDORITEL MAKMUR INTERNASIONAL TBK,0.41
MARTINA BERTO TBK,0.41
PT PANCA GLOBAL KAPITAL TBK,0.41
SAMINDO RESOURCES TBK,0.4
PT NUSA PALAPA GEMILANG TBK,0.4
PT MAHARAKSA BIRU ENERGI TBK,0.4
INDONESIA PRIMA PROPERTY TBK,0.4
PT PANTAI INDAH KAPUK DUA TBK,0.4
PT CHARNIC CAPITAL TBK,0.4
GUDANG GARAM TBK,0.4
PT GREENWOOD SEJAHTERA TBK,0.4
PT MENTENG HERITAGE REALTY TBK,0.4
INTRACO PENTA TBK,0.4
PT EKA SARI LORENA TRANSPORT TBK,0.4
PT PRIMA ANDALAN MANDIRI TBK,0.4
PT MEDCO ENERGI INTERNASIONAL TBK,0.4
MITRA INTERNATIONAL RESOURCES TBK,0.4
MULIA INDUSTRINDO TBK,0.4
PT MADUSARI MURNI INDAH TBK,0.4
PT MEGAPOWER MAKMUR TBK,0.4
PT PERMA PLASINDO TBK,0.4
PT ARKHA JAYANTI PERSADA TBK,0.4
ARWANA CITRAMULIA TBK,0.4
ASURANSI JASA TANIA TBK,0.4
PT CAPITAL FINANCIAL INDONESIA TBK,0.4
PT BHAKTI AGUNG PROPERTINDO TBK,0.4
PT MITRA ANGKASA SEJAHTERA TBK,0.4
INDOCEMENT,0.4
MEDCOENERGI,0.4
MANDOM INDONESIA TBK,0.4
SURYA TOTO INDONESIA TBK,0.4
PT ENVY TECHNOLOGIES INDONESIA TBK,0.4
PT FAP AGRI TBK,0.4
INDO KORDSA TBK,0.4
MITRA INVESTINDO TBK,0.4
PELANGI INDAH CANINDO TBK,0.4
PT GOLDEN FLOWER TBK,0.4
PT PALMA SERASIH TBK,0.4
SAT NUSAPERSADA TBK,0.4
PT SARIMELATI KENCANA TBK,0.4
PT REPOWER ASIA INDONESIA TBK,0.4
JASUINDO TIGA PERKASA TBK,0.4
PT KIRANA MEGATARA TBK,0.4
PT DMS PROPERTINDO TBK,0.4
PT LCK GLOBAL KEDATON TBK,0.4
PT PELAYARAN TAMARIN SAMUDRA TBK,0.4
LANGGENG MAKMUR INDUSTRI TBK,0.4
PT CENTRATAMA TELEKOMUNIKASI INDONESIA TBK,0.4
COLORPAK INDONESIA TBK,0.4
PT AIRASIA INDONESIA TBK,0.4
PT WAHANA INTERFOOD NUSANTARA TBK,0.4
PT CAHAYASAKTI INVESTINDO SUKSES TBK,0.4
PT BANK KB INDONESIA TBK,0.4
FORTUNE INDONESIA TBK,0.4
PT BUMI BENOWO SUKSES SEJAHTERA TBK,0.4
BUMI CITRA PERMAI TBK,0.4
PT SHIELD ON SERVICE TBK,0.4
BFI FINANCE INDONESIA TBK,0.4
BERLIAN LAJU TANKER TBK,0.4
TANAH LAUT TBK,0.4
PT INDAH PRAKASA SENTOSA TBK,0.4
PT PAKUAN TBK,0.4
PT WIDODO MAKMUR PERKASA TBK,0.4
PT YELOOO INTEGRA DATANET TBK,0.4
PT SELARAS CITRA NUSANTARA PERKASA TBK,0.4
ALAMTRI RESOURCES INDONESIA TBK,0.4
PT BANK IBK INDONESIA TBK,0.4
PT MAHKOTA GROUP TBK,0.4
PT VICTORIA CARE INDONESIA TBK,0.4
PT ANDIRA AGRO TBK,0.4
HOTEL SAHID JAYA TBK,0.4
PT SILLO MARITIME PERDANA TBK,0.4
GOLDEN EAGLE ENERGY TBK,0.4
PT SATYAMITRA KEMAS LESTARI TBK,0.4
PT SUNTER LAKESIDE HOTEL TBK,0.4
