Nama,indegree,outdegree,betweenness,closeness,pagerank,cluster_sna
BLUE GRASS FARMS AMERIKA SERIKAT,1.0,0.0,0.0,0.16,0.16,1
BLUE OCEAN RESOURCES PTE LTD,1.0,0.0,0.0,0.14,0.18,1
BLUE SPHERE SINGAPORE PTE LTD,0.0,1.0,0.0,0.16,0.15,1
BM ALLIANCE COAL OPERATIONS PTY LTD,1.0,0.0,0.0,0.17,0.16,1
BMTR DIGITAL LIMITED,1.0,0.0,0.0,0.15,0.17,1
BMTR MEDIA LIMITED,1.0,0.0,0.0,0.15,0.17,1
BNI HONGKONG,0.0,1.0,0.0,0.17,0.15,1
BNI LONDON,0.0,1.0,0.0,0.17,0.15,1
BNI REMITTANCE LTD,1.0,0.0,0.0,0.18,0.17,1
BNP PARIBAS SINGAPORE BRANCH WEALTH MANAGEMENT,0.0,3.0,7765.74,0.17,0.15,1
BNWP CELLA HOLDING PTE LTD,1.0,0.0,0.0,0.14,0.15,1
BNYM RE ACP II TRADING LLC 2039927457,0.0,1.0,0.0,0.15,0.15,1
BNYM RE BNYMTCNA RE BCSS BORON A I LP,0.0,1.0,0.0,0.17,0.15,1
BOEVT (HONGKONG) CO LTD,2.0,0.0,0.0,0.18,0.16,1
BONLIGHT INVESTMENT LIMITED,0.0,1.0,0.0,0.17,0.15,1
BOOKINGCOM BV,1.0,0.0,0.0,0.16,0.15,1
BORNEO AGRI-RESOURCES INTERNATIONAL PTE LTD,1.0,0.0,0.0,0.15,0.16,1
BORNEO TECHNICAL CO(M) SDNBHD,1.0,0.0,0.0,0.13,0.19,1
BOWEN COKING COAL LIMITED,1.0,0.0,0.0,0.17,0.16,1
BP BERAU LTD,6.0,0.0,126151.26,0.19,0.21,1
BP2S/SG BNP PARIBAS WEALTH MANAGEMENT SINGAPORE BRANCH,0.0,1.0,0.0,0.15,0.15,1
BRADKE SYNERGIES SDN BHD,1.0,0.0,0.0,0.39,0.16,0
BRANTAS ABIPRAYA,1.0,0.0,0.0,0.18,0.16,1
BRASMAR COMERCIO DE PRODUCTOS,1.0,0.0,0.0,0.12,0.16,1
BREDERO SHAW INTERNATIONAL BV,0.0,1.0,0.0,0.14,0.15,1
BRI GLOBAL FINANCIAL SERVICES CO LTD,1.0,0.0,0.0,0.18,0.18,1
BRIDGE LEED LIMITED,0.0,1.0,0.0,0.17,0.15,1
BRIDGESTONE CORPORATION,2.0,0.0,29640.0,0.14,0.18,1
BRIDGESTONE SINGAPORE PTE LTD,2.0,0.0,2928.1,0.14,0.18,1
BRILLIANT COMMODITY LIMITED,1.0,0.0,0.0,0.17,0.16,1
BROOKLYN ENTERPRISE PTE LTD,2.0,0.0,1612.22,0.15,0.28,1
BSP FINANCE B.V,1.0,0.0,0.0,0.15,0.16,1
BSP LIBERIA B.V,1.0,0.0,0.0,0.15,0.16,1
BSP NETHERLAND FINANCE B.V,1.0,0.0,0.0,0.15,0.16,1
BTPN SYARIAH,1.0,0.0,0.0,0.5,0.19,0
BUANA FINANCE TBK,2.0,0.0,9890.0,0.16,0.29,1
BUDI STARCH & SWEETENER SINGAPORE PTE LTD,1.0,0.0,0.0,0.12,0.22,1
BUHLMANN SINGAPORE PTE LTD,1.0,0.0,0.0,0.15,0.16,1
BUKA AUSTRALIA PTY LTD,1.0,0.0,0.0,0.16,0.15,1
