Nama,Jabatan,Independen,KodeEmiten,NamaEmiten
JUNAIDI,PRESIDENT COMMISIONER,False,TEBE,PT DANA BRATA LUHUR TBK
INDRA SURYA,COMMISSIONER,True,TEBE,PT DANA BRATA LUHUR TBK
CHRISTIANTO WIDJAJA,PRESIDENT COMMISIONER,True,TELE,PT OMNI INOVASI INDONESIA TBK
HENRY CHRISTIADI,COMMISSIONER,False,TELE,PT OMNI INOVASI INDONESIA TBK
IVAN EKANCONO,PRESIDENT COMMISIONER,False,TFAS,PT TELEFAST INDONESIA TBK
SRI HARYATNO,COMMISSIONER,True,TFAS,PT TELEFAST INDONESIA TBK
MEITY TJIPTOBIANTORO,PRESIDENT COMMISIONER,False,TGKA,TIGARAKSA SATRIA TBK
SHINTA W KAMDANI,COMMISSIONER,False,TGKA,TIGARAKSA SATRIA TBK
CHANDRA N WIDJAJA,COMMISSIONER,False,TGKA,TIGARAKSA SATRIA TBK
HENDRA KARTASASMITA,COMMISSIONER,True,TGKA,TIGARAKSA SATRIA TBK
HARRY PRAMONO,COMMISSIONER,True,TGKA,TIGARAKSA SATRIA TBK
NGURAH ADNYANA,PRESIDENT COMMISIONER,False,TGRA,PT TERREGRA ASIA ENERGY
SUPANDI WS,COMMISSIONER,True,TGRA,PT TERREGRA ASIA ENERGY
ROY PETRUS CHALIM,COMMISSIONER,False,TGRA,PT TERREGRA ASIA ENERGY
KWON YOUNGHOON,PRESIDENT COMMISIONER,False,TIFA,KDB TIFA FINANCE TBK
CHOI JUNG SIK,COMMISSIONER,True,TIFA,KDB TIFA FINANCE TBK
ANTONIUS HANIFAH KOMALA,COMMISSIONER,True,TIFA,KDB TIFA FINANCE TBK
AGUS ROHMAN,PRESIDENT COMMISIONER,True,TINS,PT TIMAH TBK
YUSLIH IHZA MAHENDRA,COMMISSIONER,True,TINS,PT TIMAH TBK
RIZANI USMAN,COMMISSIONER,False,TINS,PT TIMAH TBK
M HITA TUNGGAL,COMMISSIONER,True,TINS,PT TIMAH TBK
ENIYA LISTIANI DEWI,COMMISSIONER,False,TINS,PT TIMAH TBK
HARRY KURNIAWAN,COMMISSIONER,True,TIRA,TIRA AUSTENITE TBK
SELO WINARDI,COMMISSIONER,False,TIRA,TIRA AUSTENITE TBK
RUDIANTO DARMAWAN SANTOSO,COMMISSIONER,False,TIRA,TIRA AUSTENITE TBK
ABYASA KAMDANI,PRESIDENT COMMISIONER,False,TIRA,TIRA AUSTENITE TBK
ELY,COMMISSIONER,True,TIRA,TIRA AUSTENITE TBK
LIM GUNARDI HARIYANTO,PRESIDENT COMMISIONER,False,TIRT,TIRTA MAHAKAM RESOURCES TBK
HENDRA SURYA,COMMISSIONER,True,TIRT,TIRTA MAHAKAM RESOURCES TBK
SALEH HUSIN,PRESIDENT COMMISIONER,False,TKIM,PABRIK KERTAS TJIWI KIMIA TBK
HENDRA JAYA KOSASIH,COMMISSIONER,False,TKIM,PABRIK KERTAS TJIWI KIMIA TBK
SUKIRTA MANGKU DJAJA,COMMISSIONER,False,TKIM,PABRIK KERTAS TJIWI KIMIA TBK
ANDRIE SETIAWAN YAPSIR,COMMISSIONER,False,TKIM,PABRIK KERTAS TJIWI KIMIA TBK
RIZAL AFFANDI LUKMAN,COMMISSIONER,True,TKIM,PABRIK KERTAS TJIWI KIMIA TBK
WIDYO PRAMONO,COMMISSIONER,True,TKIM,PABRIK KERTAS TJIWI KIMIA TBK
BAHARUDIN,COMMISSIONER,True,TKIM,PABRIK KERTAS TJIWI KIMIA TBK
ANGGA RAKA PRABOWO,PRESIDENT COMMISIONER,False,TLKM,PT TELKOM INDONESIA (PERSERO) TBK
YOHANES SURYA,COMMISSIONER,True,TLKM,PT TELKOM INDONESIA (PERSERO) TBK
DESWANDHY AGUSMAN,COMMISSIONER,True,TLKM,PT TELKOM INDONESIA (PERSERO) TBK
RIZAL MALLARANGENG,COMMISSIONER,False,TLKM,PT TELKOM INDONESIA (PERSERO) TBK
SILMY KARIM,COMMISSIONER,False,TLKM,PT TELKOM INDONESIA (PERSERO) TBK
OSSY DERMAWAN,COMMISSIONER,False,TLKM,PT TELKOM INDONESIA (PERSERO) TBK
ISMAIL,COMMISSIONER,False,TLKM,PT TELKOM INDONESIA (PERSERO) TBK
RIONALD SILABAN,COMMISSIONER,False,TLKM,PT TELKOM INDONESIA (PERSERO) TBK
HARTO KHUSUMO,PRESIDENT COMMISIONER,False,TMAS,PT TEMAS TBK
THEO LEKATOMPESSY,COMMISSIONER,True,TMAS,PT TEMAS TBK
ALFRED NATSIR,COMMISSIONER,True,TMAS,PT TEMAS TBK
GOENAWAN MOHAMAD,PRESIDENT COMMISIONER,False,TMPO,TEMPO INTI MEDIA TBK
LEONARDI KUSEN,COMMISSIONER,True,TMPO,TEMPO INTI MEDIA TBK
BAMBANG HARYMURTI,COMMISSIONER,False,TMPO,TEMPO INTI MEDIA TBK
KRISTIANTO INDRAWAN,COMMISSIONER,False,TMPO,TEMPO INTI MEDIA TBK
C PAUL TEHUSIJARANA,COMMISSIONER,True,TMPO,TEMPO INTI MEDIA TBK
ACHMAD SUTJIPTO,PRESIDENT COMMISIONER,True,TNCA,PT TRIMUDA NUANSA CITRA TBK
ANDY RAHARJA,COMMISSIONER,False,TNCA,PT TRIMUDA NUANSA CITRA TBK
BACELIUS RURU,PRESIDENT COMMISIONER,True,TOBA,PT TBS ENERGI UTAMA TBK
AHMAD FUAD RAHMANY,COMMISSIONER,True,TOBA,PT TBS ENERGI UTAMA TBK
YASMIN S WIRJAWAN,COMMISSIONER,True,TOBA,PT TBS ENERGI UTAMA TBK
KANG TZU PING FRANCES KANG,COMMISSIONER,True,TOBA,PT TBS ENERGI UTAMA TBK
REYNO STEPHANUS ADHIPUTRANT,PRESIDENT COMMISIONER,True,TOTL,TOTAL BANGUN PERSADA TBK
