Nama,Jabatan,Independen,KodeEmiten,NamaEmiten
YOSHIHIRO KOBI,PRESIDENT COMMISIONER,False,UANG,PT PAKUAN TBK
BONNY HARRY,COMMISSIONER,True,UANG,PT PAKUAN TBK
TAKASHI KAN,PRESIDENT COMMISIONER,False,UCID,PT UNI-CHARM INDONESIA TBK
YOSHIYUKI IWASE,COMMISSIONER,False,UCID,PT UNI-CHARM INDONESIA TBK
HENDRA JAYA KOSASIH,COMMISSIONER,False,UCID,PT UNI-CHARM INDONESIA TBK
SURYAMIN HALIM,COMMISSIONER,True,UCID,PT UNI-CHARM INDONESIA TBK
UBAIDILLAH NUGRAHA,COMMISSIONER,True,UCID,PT UNI-CHARM INDONESIA TBK
PUDJI HARIANTO,PRESIDENT COMMISIONER,False,UFOE,PT DAMAI SEJAHTERA ABADI TBK
NG ANDI GOTAMA CHANDRA,COMMISSIONER,True,UFOE,PT DAMAI SEJAHTERA ABADI TBK
SUPIANDI PRAWIRAWIDJAJA,PRESIDENT COMMISIONER,False,ULTJ,PT ULTRAJAYA MILK INDUSTRY & TRADING COMPANY TBK
SONY DEVANO,COMMISSIONER,True,ULTJ,PT ULTRAJAYA MILK INDUSTRY & TRADING COMPANY TBK
SUHENDRA PRAWIRAWIDJAJA,COMMISSIONER,False,ULTJ,PT ULTRAJAYA MILK INDUSTRY & TRADING COMPANY TBK
EVITA PUSPITASARI,COMMISSIONER,True,ULTJ,PT ULTRAJAYA MILK INDUSTRY & TRADING COMPANY TBK
MERTJE TJOKRO,PRESIDENT COMMISIONER,False,UNIQ,PT ULIMA NITRA TBK
SUPANDI WIDI SISWANTO,COMMISSIONER,True,UNIQ,PT ULIMA NITRA TBK
NALINKANT A RATHOD,PRESIDENT COMMISIONER,False,UNSP,BAKRIE SUMATERA PLANTATIONS TBK
ANINDYA NOVYAN BAKRIE,COMMISSIONER,False,UNSP,BAKRIE SUMATERA PLANTATIONS TBK
NENGAH RAMA GAUTAMA,COMMISSIONER,True,UNSP,BAKRIE SUMATERA PLANTATIONS TBK
DJONY BUNARTO TJONDRO,PRESIDENT COMMISIONER,False,UNTR,UNITED TRACTORS TBK
DJOKO PRANOTO SANTOSO,COMMISSIONER,False,UNTR,UNITED TRACTORS TBK
BENJAMIN HERRENDEN BIRKS,COMMISSIONER,False,UNTR,UNITED TRACTORS TBK
PAULUS BAMBANG WIDJANARKO,COMMISSIONER,True,UNTR,UNITED TRACTORS TBK
IGNASIUS JONAN,COMMISSIONER,True,UNTR,UNITED TRACTORS TBK
RUDY,VICE PRESIDENT COMMISIONER,False,UNTR,UNITED TRACTORS TBK
GITA TIFFANI BOER,COMMISSIONER,False,UNTR,UNITED TRACTORS TBK
BRUCE MALCOLM COX,COMMISSIONER,True,UNTR,UNITED TRACTORS TBK
ALEXANDER RUSLI,COMMISSIONER,True,UNVR,UNILEVER INDONESIA TBK
DEBORA HERAWATI SADRACH,COMMISSIONER,True,UNVR,UNILEVER INDONESIA TBK
IGNASIUS JONAN,COMMISSIONER,True,UNVR,UNILEVER INDONESIA TBK
FAUZI ICHSAN,COMMISSIONER,True,UNVR,UNILEVER INDONESIA TBK
ALISSA WAHID,COMMISSIONER,True,UNVR,UNILEVER INDONESIA TBK
SANJIV MEHTA,PRESIDENT COMMISIONER,False,UNVR,UNILEVER INDONESIA TBK
AHMAD FADLI KARTAJAYA,PRESIDENT COMMISIONER,True,URBN,PT URBAN JAKARTA PROPERTINDO TBK
ADE WAHYU,COMMISSIONER,False,URBN,PT URBAN JAKARTA PROPERTINDO TBK
HENDRO TJAHJONO,PRESIDENT COMMISIONER,False,UVCR,PT TRIMEGAH KARYA PRATAMA TBK
RANGGA ANANTA,COMMISSIONER,False,UVCR,PT TRIMEGAH KARYA PRATAMA TBK
DANNY EUGENE,COMMISSIONER,True,UVCR,PT TRIMEGAH KARYA PRATAMA TBK
BILLY HARTONO SALIM,PRESIDENT COMMISIONER,False,VICI,PT VICTORIA CARE INDONESIA TBK
VIBHAV PANANDIKER,COMMISSIONER,False,VICI,PT VICTORIA CARE INDONESIA TBK
LUHUR IWAN HERNADI,COMMISSIONER,False,VICI,PT VICTORIA CARE INDONESIA TBK
HERBUDIANTO,COMMISSIONER,True,VICI,PT VICTORIA CARE INDONESIA TBK
VAN SCHOOTE CHRISTIAN PIERRE B,COMMISSIONER,True,VICI,PT VICTORIA CARE INDONESIA TBK
UNTUNG WOENARDI,PRESIDENT COMMISIONER,False,VICO,PT VICTORIA INVESTAMA TBK
EKO RACHMANSYAH GINDO,COMMISSIONER,True,VICO,PT VICTORIA INVESTAMA TBK
SULISTIJOWATI,PRESIDENT COMMISIONER,False,VINS,PT VICTORIA INSURANCE TBK
JIMMY PAULUS WATULINGAS,COMMISSIONER,True,VINS,PT VICTORIA INSURANCE TBK
TOMI PARISIANTO WIBOWO,COMMISSIONER,True,VINS,PT VICTORIA INSURANCE TBK
OMAR LUTHFI ANWAR,COMMISSIONER,False,VIVA,PT VISI MEDIA ASIA TBK
ILHAM AKBAR HABIBIE,PRESIDENT COMMISIONER,True,VIVA,PT VISI MEDIA ASIA TBK
RADEN MAS DJOKO SETIOTOMO,COMMISSIONER,True,VIVA,PT VISI MEDIA ASIA TBK
LINDA LIUS,COMMISSIONER,True,VOKS,VOKSEL ELECTRIC TBK
HARDI SASMITA,COMMISSIONER,False,VOKS,VOKSEL ELECTRIC TBK
TAN HUILIANG,PRESIDENT COMMISIONER,False,VOKS,VOKSEL ELECTRIC TBK
TJAHYADI LUKIMAN,COMMISSIONER,True,VOKS,VOKSEL ELECTRIC TBK
WANG XINGUO,COMMISSIONER,False,VOKS,VOKSEL ELECTRIC TBK
YASUO IMAIZUMI,PRESIDENT COMMISIONER,False,VRNA,PT MIZUHO LEASING INDONESIA TBK
BHINDAWATI GUNAWAN,COMMISSIONER,False,VRNA,PT MIZUHO LEASING INDONESIA TBK
MOHAMMAD SYAHRIAL,COMMISSIONER,True,VRNA,PT MIZUHO LEASING INDONESIA TBK
HENDRA WIDJAJA,PRESIDENT COMMISIONER,True,WAPO,WAHANA PRONATURAL TBK
CHENNY,COMMISSIONER,False,WAPO,WAHANA PRONATURAL TBK
JOSEPH PRAJOGO,COMMISSIONER,True,WEGE,PT WIJAYA KARYA BANGUNAN GEDUNG TBK
DANIS HIDAYAT SUMADILAGA,COMMISSIONER,False,WEGE,PT WIJAYA KARYA BANGUNAN GEDUNG TBK
SULI FATIMAH,COMMISSIONER,False,WEGE,PT WIJAYA KARYA BANGUNAN GEDUNG TBK
TAUFAN GESTORO,COMMISSIONER,True,WEGE,PT WIJAYA KARYA BANGUNAN GEDUNG TBK
ANGRETA CHANDRA,PRESIDENT COMMISIONER,False,WEHA,PT WEHA TRANSPORTASI INDONESIA TBK
OLIP SUSANTO,COMMISSIONER,True,WEHA,PT WEHA TRANSPORTASI INDONESIA TBK
IKIN WIRAWAN,PRESIDENT COMMISIONER,False,WGSH,PT WIRA GLOBAL SOLUSI TBK
ERWIN SENJAYA HARTANTO,COMMISSIONER,False,WGSH,PT WIRA GLOBAL SOLUSI TBK
LUCKY BAYU PURNOMO,COMMISSIONER,True,WGSH,PT WIRA GLOBAL SOLUSI TBK
REECE CROUCHER,COMMISSIONER,False,WICO,WICAKSANA OVERSEAS INTERNATIONAL TBK
RETNO PALUPI DIAN HARIARTI,COMMISSIONER,False,WICO,WICAKSANA OVERSEAS INTERNATIONAL TBK
RIDHO RIBBON HUTAPEA,COMMISSIONER,True,WICO,WICAKSANA OVERSEAS INTERNATIONAL TBK
ARINI IMAMAWATI,COMMISSIONER,True,WICO,WICAKSANA OVERSEAS INTERNATIONAL TBK
DJAJADI DJAJA,PRESIDENT COMMISIONER,False,WICO,WICAKSANA OVERSEAS INTERNATIONAL TBK
HERMANSJAH HARYONO,PRESIDENT COMMISIONER,False,WIFI,PT SOLUSI SINERGI DIGITAL TBK
DONI SATIAJI SOETADI,COMMISSIONER,True,WIFI,PT SOLUSI SINERGI DIGITAL TBK
INDAHTATI WIDJAJADI,PRESIDENT COMMISIONER,False,WIIM,WISMILAK INTI MAKMUR TBK
STEPHEN WALLA,COMMISSIONER,False,WIIM,WISMILAK INTI MAKMUR TBK
EDY SUGITO,COMMISSIONER,True,WIIM,WISMILAK INTI MAKMUR TBK
DANIEL SUTRIO DARMADI,COMMISSIONER,True,WIIM,WISMILAK INTI MAKMUR TBK
JAROT WIDYOKO,PRESIDENT COMMISIONER,False,WIKA,PT WIJAYA KARYA (PERSERO) TBK
RUSMANTO,COMMISSIONER,True,WIKA,PT WIJAYA KARYA (PERSERO) TBK
FIRDAUS ALI,COMMISSIONER,False,WIKA,PT WIJAYA KARYA (PERSERO) TBK
ADITYAWARMAN,COMMISSIONER,True,WIKA,PT WIJAYA KARYA (PERSERO) TBK
HARRIS ARTHUR HEDAR,COMMISSIONER,True,WIKA,PT WIJAYA KARYA (PERSERO) TBK
SURYO HAPSORO TRI UTOMO,COMMISSIONER,True,WIKA,PT WIJAYA KARYA (PERSERO) TBK
RUSSIANA,PRESIDENT COMMISIONER,False,WINR,PT WINNER NUSANTARA JAYA TBK
HANDRY SOESANTO,COMMISSIONER,True,WINR,PT WINNER NUSANTARA JAYA TBK
JONATHAN JOCHANAN,PRESIDENT COMMISIONER,True,WINS,WINTERMAR OFFSHORE MARINE TBK
SIM IDRUS MUNANDAR,COMMISSIONER,True,WINS,WINTERMAR OFFSHORE MARINE TBK
JOHN STUART ANDERSON SLACK,COMMISSIONER,False,WINS,WINTERMAR OFFSHORE MARINE TBK
ALI AGUS,PRESIDENT COMMISIONER,False,WMPP,PT WIDODO MAKMUR PERKASA TBK
ASWAR ZULKARNAIN SIREGAR,COMMISSIONER,True,WMPP,PT WIDODO MAKMUR PERKASA TBK
TUMIYANA,PRESIDENT COMMISIONER,False,WMUU,PT WIDODO MAKMUR UNGGAS TBK
WIDJANG PRANJOTO,COMMISSIONER,True,WMUU,PT WIDODO MAKMUR UNGGAS TBK
SARASTRI BASKORO,PRESIDENT COMMISIONER,True,WOMF,PT WAHANA OTTOMITRA MULTIARTHA TBK
THILAGAVATHY NADASON,COMMISSIONER,False,WOMF,PT WAHANA OTTOMITRA MULTIARTHA TBK
MYRNIE ZACHRAINI,COMMISSIONER,True,WOMF,PT WAHANA OTTOMITRA MULTIARTHA TBK
RALLYATI ARIANTO WIBOWO,COMMISSIONER,True,WOMF,PT WAHANA OTTOMITRA MULTIARTHA TBK
TAUFIK AULIA,COMMISSIONER,False,WOMF,PT WAHANA OTTOMITRA MULTIARTHA TBK
STEPHANIE KANE ILHAM,COMMISSIONER,False,WOOD,PT INTEGRA INDOCABINET TBK
BING HARTONO POERNOMOSIDI,PRESIDENT COMMISIONER,True,WOOD,PT INTEGRA INDOCABINET TBK
EDDY HIDAYAT LIM,PRESIDENT COMMISIONER,False,WOWS,PT GINTING JAYA ENERGI TBK
TANTOWI HIDAYAT,COMMISSIONER,False,WOWS,PT GINTING JAYA ENERGI TBK
LINFORD PUTRA CENDANA,COMMISSIONER,True,WOWS,PT GINTING JAYA ENERGI TBK
SANTOS GUNAWAN MATODANG,PRESIDENT COMMISIONER,False,WSBP,PT WASKITA BETON PRECAST TBK
AQILA RAHMANI,COMMISSIONER,True,WSBP,PT WASKITA BETON PRECAST TBK
MUHAMMAD HARRIFAR SYAFAR,COMMISSIONER,True,WSBP,PT WASKITA BETON PRECAST TBK
HASBY MUHAMMAD ZAMRI,COMMISSIONER,False,WSBP,PT WASKITA BETON PRECAST TBK
HERU WINARKO,PRESIDENT COMMISIONER,True,WSKT,PT WASKITA KARYA (PERSERO) TBK
MUHAMMAD ABDULLAH SYUKRI,COMMISSIONER,True,WSKT,PT WASKITA KARYA (PERSERO) TBK
AQILA RAHMANI,COMMISSIONER,True,WSKT,PT WASKITA KARYA (PERSERO) TBK
MUHAMMAD HARRIFAR SYAFAR,COMMISSIONER,True,WSKT,PT WASKITA KARYA (PERSERO) TBK
ADE ABDUL ROCHIM,COMMISSIONER,False,WSKT,PT WASKITA KARYA (PERSERO) TBK
HASBY MUHAMMAD ZAMRI,COMMISSIONER,False,WSKT,PT WASKITA KARYA (PERSERO) TBK
DWI GAWAN ISLANDHI,COMMISSIONER,True,WTON,WIJAYA KARYA BETON
TJIA MARWAN,COMMISSIONER,False,WTON,WIJAYA KARYA BETON
WILAN OKTAVIAN,PRESIDENT COMMISIONER,False,WTON,WIJAYA KARYA BETON
SUNIL RAMESH TOLANI,PRESIDENT COMMISIONER,False,YELO,PT YELOOO INTEGRA DATANET TBK
RICHY SYAHPUTRA FANI,COMMISSIONER,True,YELO,PT YELOOO INTEGRA DATANET TBK
ALEXANDER TANZIL,PRESIDENT COMMISIONER,False,YPAS,YANAPRIMA HASTAPERSADA TBK
SANTOSO WIJAYA,COMMISSIONER,False,YPAS,YANAPRIMA HASTAPERSADA TBK
SRI WAHJUNINGSIH,COMMISSIONER,True,YPAS,YANAPRIMA HASTAPERSADA TBK
IGNATIUS BUDIMAN,PRESIDENT COMMISIONER,False,YULE,YULIE SEKURITAS INDONESIA TBK
LUSY MIRANDA,COMMISSIONER,True,YULE,YULIE SEKURITAS INDONESIA TBK
SIM ANTONY,PRESIDENT COMMISIONER,False,ZINC,PT KAPUAS PRIMA COAL TBK
KIOE NATA,COMMISSIONER,False,ZINC,PT KAPUAS PRIMA COAL TBK
BAMBANG GHIRI ARIANTO,COMMISSIONER,True,ZINC,PT KAPUAS PRIMA COAL TBK
VANDA GUNAWAN,COMMISSIONER,False,ZONE,PT MEGA PERINTIS TBK
ANTHONY SOEHARTONO,COMMISSIONER,True,ZONE,PT MEGA PERINTIS TBK
VEROSITO GUNAWAN,PRESIDENT COMMISIONER,False,ZONE,PT MEGA PERINTIS TBK
WIDYA KUMALA SULISTYO,PRESIDENT COMMISIONER,False,ZYRX,PT ZYREXINDO MANDIRI BUANA TBK
WIJAYA SUBEKTI,COMMISSIONER,True,ZYRX,PT ZYREXINDO MANDIRI BUANA TBK
