Jabatan,Nama,KodeEmiten,NamaEmiten
MEMBER,SHERREN ANGGUNDYA,IKBI,SUMI INDO KABEL TBK
HEAD,TAN LIAN SOEI,IMAS,INDOMOBIL SUKSES INTERNASIONAL TBK
MEMBER,ASDI AULIA,IMAS,INDOMOBIL SUKSES INTERNASIONAL TBK
MEMBER,MULIAWATI,IMAS,INDOMOBIL SUKSES INTERNASIONAL TBK
HEAD,AGUS HASAN PURA ANGGAWIJAYA,IMJS,PT INDOMOBIL MULTI JASA TBK
MEMBER,INNA SAPARINA SUTANTO,IMJS,PT INDOMOBIL MULTI JASA TBK
MEMBER,AMELIA SETIAWAN,IMJS,PT INDOMOBIL MULTI JASA TBK
HEAD,IRAWAN SOERODJO,IMPC,PT IMPACK PRATAMA INDUSTRI TBK
MEMBER,TRI SUSILO,IMPC,PT IMPACK PRATAMA INDUSTRI TBK
MEMBER,JANTI WIDJAJA,IMPC,PT IMPACK PRATAMA INDUSTRI TBK
HEAD,TEDDY WIBISANA,INAF,INDOFARMA TBK
MEMBER,FERRY APRIANDI,INAF,INDOFARMA TBK
HEAD,SUPRANOTO DIPOKUSUMO,INAI,INDAL ALUMINIUM INDUSTRY TBK
MEMBER,LYDIA RATNA DEWI,INAI,INDAL ALUMINIUM INDUSTRY TBK
MEMBER,WINDY BRIGITTA CARP,INAI,INDAL ALUMINIUM INDUSTRY TBK
HEAD,ARIE RINALDI,INCF,PT INDO KOMODITI KORPORA TBK
MEMBER,DONNY JANSON MANUA,INCF,PT INDO KOMODITI KORPORA TBK
MEMBER,PURWANTO,INCF,PT INDO KOMODITI KORPORA TBK
HEAD,IGNATIUS EVAN RICKYANTO HARSONO,INCI,INTANWIJAYA INTERNASIONAL TBK
MEMBER,MELIANI,INCI,INTANWIJAYA INTERNASIONAL TBK
MEMBER,DAVID BINGEI,INCI,INTANWIJAYA INTERNASIONAL TBK
HEAD,MARITA ALISJAHBANA,INCO,VALE INDONESIA TBK
MEMBER,SAHAT PARDEDE,INCO,VALE INDONESIA TBK
MEMBER,RUDIANTARA,INCO,VALE INDONESIA TBK
MEMBER,IRHOAN TANUDIREDJA,INCO,VALE INDONESIA TBK
HEAD,HANS KARTIKAHADI,INDF,INDOFOOD SUKSES MAKMUR TBK
MEMBER,AMELIA SETIAWAN,INDF,INDOFOOD SUKSES MAKMUR TBK
MEMBER,NOTARIZA TAHER,INDF,INDOFOOD SUKSES MAKMUR TBK
HEAD,HUMPHREY R DJEMAT,INDR,PT INDO-RAMA SYNTHETICS TBK
MEMBER,WIKANTO ARTADI,INDR,PT INDO-RAMA SYNTHETICS TBK
MEMBER,DIAN UTAMI TJANDRA,INDR,PT INDO-RAMA SYNTHETICS TBK
HEAD,I GUSTI PUTU SURYAWIRAWAN,INDS,INDOSPRING TBK
MEMBER,POO WINATA POLIM,INDS,INDOSPRING TBK
MEMBER,RICKY ARYA SATHYANEGARA,INDS,INDOSPRING TBK
HEAD,CHNG CHIN HON,INDX,TANAH LAUT TBK
MEMBER,RAHAN NARA,INDX,TANAH LAUT TBK
HEAD,EKO PUTRO SANDJOJO,INDY,INDIKA ENERGY TBK
MEMBER,OSMAN SITORUS,INDY,INDIKA ENERGY TBK
MEMBER,HARRY PONTO,INDY,INDIKA ENERGY TBK
MEMBER,SUHARDI ALIUS,INDY,INDIKA ENERGY TBK
MEMBER,TONYADI HALIM,INDY,INDIKA ENERGY TBK
HEAD,RIZAL AFFANDI LUKMAN,INKP,INDAH KIAT PULP & PAPER TBK
MEMBER,BAHARUDIN,INKP,INDAH KIAT PULP & PAPER TBK
MEMBER,TIO I HUAT,INKP,INDAH KIAT PULP & PAPER TBK
HEAD,WIDHYAWAN PRAWIRAATMADJA,INOV,PT INOCYCLE TECHNOLOGY GROUP TBK
MEMBER,WAHYUNINGSIHSEMSIMOS,INOV,PT INOCYCLE TECHNOLOGY GROUP TBK
MEMBER,DADE AHMAD SUDRAJATSEAKCA,INOV,PT INOCYCLE TECHNOLOGY GROUP TBK
HEAD,PESTA ULI SITANGGANG,INPC,BANK ARTHA GRAHA INTERNASIONAL TBK
MEMBER,SURYANI PURWITA,INPC,BANK ARTHA GRAHA INTERNASIONAL TBK
MEMBER,ANAS LATIEF,INPC,BANK ARTHA GRAHA INTERNASIONAL TBK
HEAD,HADI CAHYADI,INPP,INDONESIAN PARADISE PROPERTY TBK
MEMBER,ANANG YUDIANSYAH SETIAWAN,INPP,INDONESIAN PARADISE PROPERTY TBK
MEMBER,KURNIADI,INPP,INDONESIAN PARADISE PROPERTY TBK
HEAD,HADI AVILLA TAMZIL,INPS,PT INDAH PRAKASA SENTOSA TBK
MEMBER,ARI BINSAR,INPS,PT INDAH PRAKASA SENTOSA TBK
MEMBER,ACHMAD SYAFEI,INPS,PT INDAH PRAKASA SENTOSA TBK
HEAD,THOMSON SIAGIAN,INRU,TOBA PULP LESTARI TBK
MEMBER,HONG CHUN,INRU,TOBA PULP LESTARI TBK
MEMBER,LAMSAUDIN SITUMEANG,INRU,TOBA PULP LESTARI TBK
HEAD,JUGI PRAJOGIO,INTA,INTRACO PENTA TBK
MEMBER,AGUNG RAHMONO,INTA,INTRACO PENTA TBK
HEAD,HASAN EFENDI LIEM,INTD,INTER-DELTA TBK
MEMBER,FACHRUL ABDUL RACHMAN,INTD,INTER-DELTA TBK
MEMBER,HENDRA BRATA,INTD,INTER-DELTA TBK
HEAD,SIMON SUBRATA,INTP,INDOCEMENT TUNGGAL PRAKARSA TBK
MEMBER,ANCELLA ANITAWATI HERMAWAN,INTP,INDOCEMENT TUNGGAL PRAKARSA TBK
MEMBER,LUDOVICUS SENSI WONDABIO,INTP,INDOCEMENT TUNGGAL PRAKARSA TBK
HEAD,TJIO YAFET KRISTANTO,IPAC,PT ERA GRAHAREALTY TBK
MEMBER,NURHARYANTO,IPAC,PT ERA GRAHAREALTY TBK
MEMBER,JULIUS JURIANTO,IPAC,PT ERA GRAHAREALTY TBK
HEAD,ABDUR RAHMAN HASAN,IPCC,PT INDONESIA KENDARAAN TERMINAL TBK
MEMBER,DYAH AYU ANGGRAENI,IPCC,PT INDONESIA KENDARAAN TERMINAL TBK
MEMBER,NOVAL ALI ABBAS,IPCC,PT INDONESIA KENDARAAN TERMINAL TBK
HEAD,DONI ISTYANTO HARI MAHDI,IPCM,PT JASA ARMADA INDONESIA TBK
MEMBER,DYAH AYU ANGGRAHENI SUGIRI,IPCM,PT JASA ARMADA INDONESIA TBK
MEMBER,JAJA SUPARMAN,IPCM,PT JASA ARMADA INDONESIA TBK
HEAD,AGNES GORETTI,IPOL,INDOPOLY SWAKARSA INDUSTRY TBK
MEMBER,HERBERT HALIM,IPOL,INDOPOLY SWAKARSA INDUSTRY TBK
MEMBER,JUNI LESTARI,IPOL,INDOPOLY SWAKARSA INDUSTRY TBK
HEAD,AGUS MULYANTO,IPTV,PT MNC VISION NETWORKS TBK
MEMBER,BETI PUSPITASARI SANTOSO,IPTV,PT MNC VISION NETWORKS TBK
MEMBER,MOHAMED IDWAN GANIE,IPTV,PT MNC VISION NETWORKS TBK
HEAD,ALVI SYAHRI RAMADHAN NASUTION,IRRA,PT ITAMA RANORAYA TBK
MEMBER,SUDARMONO,IRRA,PT ITAMA RANORAYA TBK
MEMBER,VENANTIUS AGUNG PASSINORAGA,IRRA,PT ITAMA RANORAYA TBK
HEAD,AJAY BAHRI,ISAT,PT INDOSAT TBK
MEMBER,HERNANDO,ISAT,PT INDOSAT TBK
MEMBER,HARYANTO SAHARI,ISAT,PT INDOSAT TBK
MEMBER,ELISA LUMBANTORUAN,ISAT,PT INDOSAT TBK
HEAD,WELLY TANTONO,ISSP,PT STEEL PIPE INDUSTRY OF INDONESIA TBK
MEMBER,ANTONIUS KARAMOY,ISSP,PT STEEL PIPE INDUSTRY OF INDONESIA TBK
MEMBER,YOSHINORI NISHIMOTO,ISSP,PT STEEL PIPE INDUSTRY OF INDONESIA TBK
HEAD,ACHMAD WIDJAJA,ITMA,SUMBER ENERGI ANDALAN TBK
MEMBER,DEDEN HENDRAYANA,ITMA,SUMBER ENERGI ANDALAN TBK
MEMBER,RODION WIKANTO NJOTOWIDJOJO,ITMA,SUMBER ENERGI ANDALAN TBK
HEAD,DJISMAN SIMANDJUNTAK,ITMG,INDO TAMBANGRAYA MEGAH TBK
MEMBER,CYNTHIA AFRIANI,ITMG,INDO TAMBANGRAYA MEGAH TBK
MEMBER,PETRUS M SIREGAR,ITMG,INDO TAMBANGRAYA MEGAH TBK
HEAD,IRWAN ARIFIN,JAST,PT JASNITA TELEKOMINDO TBK
MEMBER,MARUP ISKANDAR,JAST,PT JASNITA TELEKOMINDO TBK
MEMBER,RADEN MAULANA JUSUF,JAST,PT JASNITA TELEKOMINDO TBK
HEAD,FRANKLIN WILLIAM KAYHATU,JAYA,PT ARMADA BERJAYA TRANS TBK
MEMBER,RIKO FIRMANSYAH,JAYA,PT ARMADA BERJAYA TRANS TBK
MEMBER,ISMAIL HASAN,JAYA,PT ARMADA BERJAYA TRANS TBK
HEAD,AGUS KRISTIYONO,JECC,JEMBO CABLE COMPANY TBK
MEMBER,JONI PATHIBANG,JECC,JEMBO CABLE COMPANY TBK
MEMBER,IRINEUS DWINANTO BIMO,JECC,JEMBO CABLE COMPANY TBK
HEAD,ORI SETIANTO,JGLE,PT GRAHA ANDRASENTRA PROPERTINDO TBK
MEMBER,MOHAMAD HASSAN,JGLE,PT GRAHA ANDRASENTRA PROPERTINDO TBK
MEMBER,MEILYN SOETIONO,JGLE,PT GRAHA ANDRASENTRA PROPERTINDO TBK
HEAD,KU SIEW KUAN,JIHD,JAKARTA INTERNATIONAL HOTELS & DEVELOPMENT TBK
MEMBER,DEDY DJAFARLI,JIHD,JAKARTA INTERNATIONAL HOTELS & DEVELOPMENT TBK
MEMBER,INDRA PRANAJAYA,JIHD,JAKARTA INTERNATIONAL HOTELS & DEVELOPMENT TBK
HEAD,KRISTIANTO INDRAWAN,JKON,JAYA KONSTRUKSI MANGGALA PRATAMA TBK
MEMBER,SRI NUGROHO,JKON,JAYA KONSTRUKSI MANGGALA PRATAMA TBK
MEMBER,ARIF NUGROHO,JKON,JAYA KONSTRUKSI MANGGALA PRATAMA TBK
HEAD,ITO SUMARDI DJUNI SANYOTO,JPFA,JAPFA COMFEED INDONESIA TBK
MEMBER,EDWIN SURATMAN,JPFA,JAPFA COMFEED INDONESIA TBK
MEMBER,KARYA UTAMA ATMADILAGA,JPFA,JAPFA COMFEED INDONESIA TBK
HEAD,OKKY DHARMOSETIO,JRPT,JAYA REAL PROPERTY TBK
MEMBER,MACY GUNAWAN,JRPT,JAYA REAL PROPERTY TBK
MEMBER,LIENLIEN ANGGRAHINI,JRPT,JAYA REAL PROPERTY TBK
HEAD,SEPPALGA AHMAD,JSMR,PT JASA MARGA TBK
MEMBER,RUDI ANTARIKSAWAN,JSMR,PT JASA MARGA TBK
MEMBER,SITI PURNAMA RIZKI,JSMR,PT JASA MARGA TBK
MEMBER,FIBRIA INDRIATI DWI LIESTIAWATI,JSMR,PT JASA MARGA TBK
HEAD,EDDY,JSPT,JAKARTA SETIABUDI INTERNASIONAL TBK
MEMBER,HEPPY INDRAYATI,JSPT,JAKARTA SETIABUDI INTERNASIONAL TBK
MEMBER,BUDIANA,JSPT,JAKARTA SETIABUDI INTERNASIONAL TBK
HEAD,MADE SUDARMA,JTPE,JASUINDO TIGA PERKASA TBK
MEMBER,MADE DUDY SATYAWAN JR,JTPE,JASUINDO TIGA PERKASA TBK
MEMBER,NOSY YODI METANA,JTPE,JASUINDO TIGA PERKASA TBK
HEAD,FACHMI IDRIS,KAEF,KIMIA FARMA TBK
MEMBER,STEFAN LOOHO,KAEF,KIMIA FARMA TBK
MEMBER,SYAIFUL,KAEF,KIMIA FARMA TBK
HEAD,WAHYU HARDIYANTO,KARW,MERATUS JASA PRIMA TBK
MEMBER,TJIAM KIAN LIM,KARW,MERATUS JASA PRIMA TBK
MEMBER,HERIANTO THEN,KARW,MERATUS JASA PRIMA TBK
HEAD,SINTAWATI SUKAMULJO,KBLI,KMI WIRE AND CABLE TBK
MEMBER,LIETA IRAWATI SUMANTRI,KBLI,KMI WIRE AND CABLE TBK
MEMBER,AGUSTINE FRANSISCA,KBLI,KMI WIRE AND CABLE TBK
HEAD,DIKDIK SUGIHARTO,KBLM,KABELINDO MURNI TBK
MEMBER,ADIWINATA,KBLM,KABELINDO MURNI TBK
MEMBER,NENY MUSTIKA SUSENO,KBLM,KABELINDO MURNI TBK
MEMBER,RICKY HARJANTO GUNARDI,KBLV,FIRST MEDIA TBK
MEMBER,LEWI SASMITA KOSASIH,KBLV,FIRST MEDIA TBK
HEAD,WIDJAYA HAMBALI,KBLV,FIRST MEDIA TBK
HEAD,FADELAN,KDSI,KEDAWUNG SETIA INDUSTRIAL TBK
MEMBER,MOHAMMAD TRI ATMAJA,KDSI,KEDAWUNG SETIA INDUSTRIAL TBK
