Jabatan,Nama,KodeEmiten,NamaEmiten
HEAD,ROKHMAD SUNANTO,KINO,PT KINO INDONESIA TBK
MEMBER,HARDIANTO SOEFAJIN,KINO,PT KINO INDONESIA TBK
MEMBER,SUMIANTY LIE,KINO,PT KINO INDONESIA TBK
HEAD,NATHANIEL KWAI,KIOS,PT KIOSON KOMERSIAL INDONESIA TBK
MEMBER,SELFI FAJARWATI,KIOS,PT KIOSON KOMERSIAL INDONESIA TBK
MEMBER,MEGAWATI,KIOS,PT KIOSON KOMERSIAL INDONESIA TBK
HEAD,ALWIE HANDOYO,KJEN,PT KRIDA JARINGAN NUSANTARA TBK
MEMBER,RAHMAT SUKENDAR,KJEN,PT KRIDA JARINGAN NUSANTARA TBK
MEMBER,RAIMON,KJEN,PT KRIDA JARINGAN NUSANTARA TBK
HEAD,DARMA PUTRA WATI,KKGI,RESOURCE ALAM INDONESIA TBK
MEMBER,GE LUIYANTO YAMIN,KKGI,RESOURCE ALAM INDONESIA TBK
MEMBER,ROBBY FONSO,KKGI,RESOURCE ALAM INDONESIA TBK
HEAD,HERIJANTO IRAWAN,KLBF,KALBE FARMA TBK
MEMBER,HARYO SUPARMUN,KLBF,KALBE FARMA TBK
MEMBER,DIANAWATI SUGIARTO,KLBF,KALBE FARMA TBK
HEAD,GUNADI,KMDS,PT KURNIAMITRA DUTA SENTOSA TBK
MEMBER,HERI YEO,KMDS,PT KURNIAMITRA DUTA SENTOSA TBK
MEMBER,ASTRI JUNIAR,KMDS,PT KURNIAMITRA DUTA SENTOSA TBK
HEAD,HERMANTO SIREGAR,KMTR,PT KIRANA MEGATARA TBK
MEMBER,HABIL LOKADJAJA,KMTR,PT KIRANA MEGATARA TBK
MEMBER,BOWO WITJAKSONO,KMTR,PT KIRANA MEGATARA TBK
HEAD,CHRISTINA,KOBX,KOBEXINDO TRACTORS TBK
MEMBER,WAHYUDI SUSANTO,KOBX,KOBEXINDO TRACTORS TBK
MEMBER,KUSWARA,KOBX,KOBEXINDO TRACTORS TBK
HEAD,NOPPADOL GAEWTHABTHIM,KOIN,KOKOH INTI AREBAMA TBK
MEMBER,DWI ASTUTI ROSMIANINGRUM NAINGGOLAN,KOIN,KOKOH INTI AREBAMA TBK
MEMBER,ANCELLA ANITAWATI HERMAWAN,KOIN,KOKOH INTI AREBAMA TBK
HEAD,TJHIN SUSANTO,KONI,PERDANA BANGUN PUSAKA TBK
MEMBER,DJUNAEDY NAULI,KONI,PERDANA BANGUN PUSAKA TBK
MEMBER,HERMAWAN,KONI,PERDANA BANGUN PUSAKA TBK
HEAD,BAMBANG HERMIYANTO PRIYADI,KOPI,PT MITRA ENERGI PERSADA TBK
MEMBER,SONNY CAHYADI,KOPI,PT MITRA ENERGI PERSADA TBK
MEMBER,DENAYA AJENG PUSPITASARI,KOPI,PT MITRA ENERGI PERSADA TBK
HEAD,ARIA EDDY KERTOCAHYONO,KOTA,PT DMS PROPERTINDO TBK
MEMBER,GANDHI WIRAWAN,KOTA,PT DMS PROPERTINDO TBK
MEMBER,RURY ANDRIANI PANGESTU,KOTA,PT DMS PROPERTINDO TBK
HEAD,SUSANINGTYAS NEFO HANDAYANI KERTOPATI,KPIG,MNC TOURISM INDONESIA TBK
MEMBER,STIEN MARIA SCHOUTEN,KPIG,MNC TOURISM INDONESIA TBK
MEMBER,NOVA YUDHI IRIANTO,KPIG,MNC TOURISM INDONESIA TBK
HEAD,TJUK AGUS MINAHASA,KRAS,KRAKATAU STEEL (PERSERO) TBK
MEMBER,DAVID PAJUNG,KRAS,KRAKATAU STEEL (PERSERO) TBK
MEMBER,RALLYATI A WIBOWO,KRAS,KRAKATAU STEEL (PERSERO) TBK
MEMBER,HOTMAN NAPITUPULU,KRAS,KRAKATAU STEEL (PERSERO) TBK
HEAD,BAMBANG HENDRAJATIN,KUAS,PT ACE OLDFIELDS TBK
MEMBER,BAMBANG SUHERMAD,KUAS,PT ACE OLDFIELDS TBK
MEMBER,JULIYANTHI SATYAWAN,KUAS,PT ACE OLDFIELDS TBK
HEAD,BINTAN REGEN SARAGIH,LAND,PT TRIMITRA PROPERTINDO TBK
MEMBER,RIO HANDONO,LAND,PT TRIMITRA PROPERTINDO TBK
MEMBER,NUR KHAMELIA AGUSTIN,LAND,PT TRIMITRA PROPERTINDO TBK
HEAD,TOTO IRIYANTO,LAPD,LEYAND INTERNATIONAL TBK
MEMBER,MUMAJAD,LAPD,LEYAND INTERNATIONAL TBK
MEMBER,A WISNU WIDODO,LAPD,LEYAND INTERNATIONAL TBK
HEAD,SUNGKANA,LCKM,PT LCK GLOBAL KEDATON TBK
MEMBER,SIMON AROSOKI GULO,LCKM,PT LCK GLOBAL KEDATON TBK
MEMBER,SITI AMANIYAH,LCKM,PT LCK GLOBAL KEDATON TBK
MEMBER,AGUSTINUS SUGIHARTO,LEAD,PT LOGINDO SAMUDRAMAKMUR TBK
MEMBER,LISA JAUHARI,LEAD,PT LOGINDO SAMUDRAMAKMUR TBK
HEAD,JOHN LUKAS PRAWIROMARUTO,LFLO,PT IMAGO MULIA PERSADA TBK
MEMBER,RENDRO WIDYATMOKOSEAKCA,LFLO,PT IMAGO MULIA PERSADA TBK
MEMBER,DICKY TIONO SEAKMM,LFLO,PT IMAGO MULIA PERSADA TBK
HEAD,TEUKU RADJA SJAHNAN,LIFE,PT MSIG LIFE INSURANCE INDONESIA TBK
MEMBER,KAREL TJAHJADI,LIFE,PT MSIG LIFE INSURANCE INDONESIA TBK
MEMBER,BAMBANG SANTOSO MARSOEM,LIFE,PT MSIG LIFE INSURANCE INDONESIA TBK
HEAD,THANDALAM VEERAVALLI THIRUMALA CHARI,LINK,PT LINK NET TBK
MEMBER,ALEXANDER RUSLI,LINK,PT LINK NET TBK
MEMBER,TIO I HUAT,LINK,PT LINK NET TBK
MEMBER,BARRY ALFA RATTU,LINK,PT LINK NET TBK
HEAD,JEANNE ARATWENAN,LION,LION METAL WORKS TBK
MEMBER,KEVIN CARMELO CINDY ADAM,LION,LION METAL WORKS TBK
MEMBER,TARULI GULTOM,LION,LION METAL WORKS TBK
HEAD,BING HARTONO POERNOMOSIDI,LMPI,LANGGENG MAKMUR INDUSTRI TBK
MEMBER,SRI HANDAYANI,LMPI,LANGGENG MAKMUR INDUSTRI TBK
MEMBER,JESSICA BUDIHARTO,LMPI,LANGGENG MAKMUR INDUSTRI TBK
HEAD,KALISTUS DECIMUS DEKE MAKING,LMSH,LIONMESH PRIMA TBK
MEMBER,SHELLY,LMSH,LIONMESH PRIMA TBK
MEMBER,ASIMA LUSIANA,LMSH,LIONMESH PRIMA TBK
HEAD,HYACINTUS HENRI DJANTOKO,LPGI,LIPPO GENERAL INSURANCE TBK
MEMBER,JOHANNES AGUS,LPGI,LIPPO GENERAL INSURANCE TBK
MEMBER,MAWARTO,LPGI,LIPPO GENERAL INSURANCE TBK
HEAD,EDDY HARSONO HANDOKO,LPIN,MULTI PRIMA SEJAHTERA TBK
MEMBER,RAYMOND LIU,LPIN,MULTI PRIMA SEJAHTERA TBK
MEMBER,CHRISTINE TANUJAYA,LPIN,MULTI PRIMA SEJAHTERA TBK
HEAD,ANANGGA W ROOSDIONO,LPKR,LIPPO KARAWACI TBK
MEMBER,ARTHUR F KALESARAN,LPKR,LIPPO KARAWACI TBK
MEMBER,RAJIV KRISHNA,LPKR,LIPPO KARAWACI TBK
HEAD,GANESH CHANDER GROVER,LPLI,STAR PACIFIC TBK
MEMBER,ROBERTO FERNANDEZ FELICIANO,LPLI,STAR PACIFIC TBK
MEMBER,LAURENSIA ADI,LPLI,STAR PACIFIC TBK
HEAD,HASAN SOEDJONO,LPPF,MATAHARI DEPARTMENT STORE TBK
MEMBER,PETER CHAMBERS,LPPF,MATAHARI DEPARTMENT STORE TBK
MEMBER,BIANCA CHEO HUI SHIN,LPPF,MATAHARI DEPARTMENT STORE TBK
HEAD,GANESH CHANDER GROVER,LPPS,PT LENOX PASIFIK INVESTAMA TBK
MEMBER,RAYMOND LIU,LPPS,PT LENOX PASIFIK INVESTAMA TBK
MEMBER,ARTHUR FELIX KALESARAN,LPPS,PT LENOX PASIFIK INVESTAMA TBK
HEAD,SAMSUDIN,LRNA,PT EKA SARI LORENA TRANSPORT TBK
HEAD,AMELIA SETIAWAN,LSIP,PP LONDON SUMATRA INDONESIA TBK
MEMBER,TIMOTIUS,LSIP,PP LONDON SUMATRA INDONESIA TBK
MEMBER,NOTARIZA TAHER,LSIP,PP LONDON SUMATRA INDONESIA TBK
HEAD,BENNY WACHJUDI,LTLS,PT LAUTAN LUAS TBK
MEMBER,NANCY NATALEO,LTLS,PT LAUTAN LUAS TBK
MEMBER,DIANE CHRISTINA,LTLS,PT LAUTAN LUAS TBK
HEAD,EDWIN PAMIMPIN SITUMORANG,LUCK,PT SENTRAL MITRA INFORMATIKA TBK
MEMBER,RONNY ANDARA,LUCK,PT SENTRAL MITRA INFORMATIKA TBK
MEMBER,ABYASA R KUSUMA,LUCK,PT SENTRAL MITRA INFORMATIKA TBK
HEAD,JUNIOR JOHN RORIMPANDEY,LUCY,PT LIMA DUA LIMA TIGA TBK
MEMBER,DIMAS RADITYA,LUCY,PT LIMA DUA LIMA TIGA TBK
MEMBER,STEVEN,LUCY,PT LIMA DUA LIMA TIGA TBK
HEAD,YONGKIE HANDAYA,MAIN,MALINDO FEEDMILL TBK
MEMBER,KOH KIM CHUI,MAIN,MALINDO FEEDMILL TBK
MEMBER,KOH BOCK SWI RAYMOND KOH,MAIN,MALINDO FEEDMILL TBK
MEMBER,RACHMAD,MAIN,MALINDO FEEDMILL TBK
MEMBER,KESHMIRA IRANI,MAIN,MALINDO FEEDMILL TBK
HEAD,HENDRY HASIHOLAN BATUBARA,MAPA,PT MAP AKTIF ADIPERKASA TBK
MEMBER,SUWANDI,MAPA,PT MAP AKTIF ADIPERKASA TBK
MEMBER,WAHYU SEPTIANA,MAPA,PT MAP AKTIF ADIPERKASA TBK
HEAD,VICTOR SETIAWAN TASLIM,MAPB,PT MAP BOGA ADIPERKASA TBK
MEMBER,IMAM SUGIARTO,MAPB,PT MAP BOGA ADIPERKASA TBK
MEMBER,WAHYU SEPTIANA,MAPB,PT MAP BOGA ADIPERKASA TBK
HEAD,GBPH H PRABUKUSUMO,MAPI,PT MITRA ADIPERKASA TBK
MEMBER,SUWANDI,MAPI,PT MITRA ADIPERKASA TBK
MEMBER,RIONO TRISONGKO,MAPI,PT MITRA ADIPERKASA TBK
HEAD,HENDRI MULYA SYAM,MARI,PT MAHAKA RADIO INTEGRA TBK
MEMBER,DENNY J SOMPIE,MARI,PT MAHAKA RADIO INTEGRA TBK
MEMBER,MERY,MARI,PT MAHAKA RADIO INTEGRA TBK
HEAD,DOMPAK PASARIBU,MARK,PT MARK DYNAMICS INDONESIA TBK
MEMBER,DAULAT SIHOMBING,MARK,PT MARK DYNAMICS INDONESIA TBK
MEMBER,SEPTONY B SIAHAAN,MARK,PT MARK DYNAMICS INDONESIA TBK
HEAD,BUDI YOSEPH SIREGAR,MASA,MULTISTRADA ARAH SARANA TBK
MEMBER,SUKSAMRAN SANTHAN,MASA,MULTISTRADA ARAH SARANA TBK
MEMBER,PREEDEE CHANTANAKAJOHNFUNG,MASA,MULTISTRADA ARAH SARANA TBK
HEAD,NANCY HERAWATI,MASB,PT BANK MULTIARTA SENTOSA TBK
MEMBER,I GDE YADNYA KUSUMA,MASB,PT BANK MULTIARTA SENTOSA TBK
MEMBER,SIMON SUHARDI,MASB,PT BANK MULTIARTA SENTOSA TBK
HEAD,KUMHAL DJAMIL,MAYA,PT BANK MAYAPADA INTERNASIONAL TBK
MEMBER,BENNY KASTAWA YUDIAATMAJA,MAYA,PT BANK MAYAPADA INTERNASIONAL TBK
MEMBER,USMAN GUMANTI SALEH,MAYA,PT BANK MAYAPADA INTERNASIONAL TBK
HEAD,ABDULLAH FARID SIDDIK,MBAP,PT MITRABARA ADIPERDANA TBK
MEMBER,RALLYATI A WIBOWO,MBAP,PT MITRABARA ADIPERDANA TBK
MEMBER,RIFKY ADRIANTO FIRDAUS,MBAP,PT MITRABARA ADIPERDANA TBK
HEAD,KEVIN EVAN SUANDAR,MBSS,MITRABAHTERA SEGARA SEJATI TBK
MEMBER,ALDIAS WITRASIWI,MBSS,MITRABAHTERA SEGARA SEJATI TBK
MEMBER,I MADE ANDRE WIJAYA,MBSS,MITRABAHTERA SEGARA SEJATI TBK
HEAD,TJAN HONG TJHIANG,MBTO,MARTINA BERTO TBK
MEMBER,PHILIPUS NERI BA,MBTO,MARTINA BERTO TBK
HEAD,FAUZI SJAM,MCAS,PT M CASH INTEGRASI TBK
MEMBER,KARLINA,MCAS,PT M CASH INTEGRASI TBK
MEMBER,SARI DAMAYANTI,MCAS,PT M CASH INTEGRASI TBK
HEAD,SENDANG PANGGANJAR,MCOL,PT PRIMA ANDALAN MANDIRI TBK
MEMBER,ANANG YUDIANSYAH SETIAWAN,MCOL,PT PRIMA ANDALAN MANDIRI TBK
MEMBER,KURNIADI,MCOL,PT PRIMA ANDALAN MANDIRI TBK
HEAD,MOHAMAD HASAN,MCOR,PT BANK CHINA CONSTRUCTION BANK INDONESIA TBK
MEMBER,MOHAMAD HASSAN,MCOR,PT BANK CHINA CONSTRUCTION BANK INDONESIA TBK
MEMBER,INDRA WIDJAJA,MCOR,PT BANK CHINA CONSTRUCTION BANK INDONESIA TBK
HEAD,CF CARMELITA HARDIKUSUMO,MDIA,PT INTERMEDIA CAPITAL TBK
MEMBER,ERIS MAULANA,MDIA,PT INTERMEDIA CAPITAL TBK
MEMBER,MAMAN CASMANAN,MDIA,PT INTERMEDIA CAPITAL TBK
HEAD,BUDI BOWOLEKSONO,MDKA,PT MERDEKA COPPER GOLD TBK
MEMBER,LUDOVICUS SENSI WONDABIO,MDKA,PT MERDEKA COPPER GOLD TBK
MEMBER,ATIK WIJAKSONO SUSANTO,MDKA,PT MERDEKA COPPER GOLD TBK
HEAD,SJAIFUL ARIFIN,MDKI,PT EMDEKI UTAMA TBK
MEMBER,R HARTONO,MDKI,PT EMDEKI UTAMA TBK
MEMBER,DAVID,MDKI,PT EMDEKI UTAMA TBK
HEAD,IWAN SURYAWIJAYA,MDLN,PT MODERNLAND REALTY TBK
MEMBER,SURAT TRIYANA,MDLN,PT MODERNLAND REALTY TBK
MEMBER,JOHAN RUSS,MDLN,PT MODERNLAND REALTY TBK
HEAD,ANTHONY CHANDRA,MDRN,MODERN INTERNASIONAL TBK
MEMBER,IZUDIN,MDRN,MODERN INTERNASIONAL TBK
MEMBER,TIRTONADI,MDRN,MODERN INTERNASIONAL TBK
HEAD,BAMBANG SUBIANTO,MEDC,PT MEDCO ENERGI INTERNASIONAL TBK
MEMBER,HENDRY,MEDC,PT MEDCO ENERGI INTERNASIONAL TBK
MEMBER,FERRY SANJAYA,MEDC,PT MEDCO ENERGI INTERNASIONAL TBK
HEAD,HIZBULLAH,MEGA,BANK MEGA TBK
MEMBER,PURWO JUNIANTO,MEGA,BANK MEGA TBK
MEMBER,IVAN PURNAMA SANOESI,MEGA,BANK MEGA TBK
HEAD,PARULIAN SIMANJUNTAK,MERK,MERCK TBK
MEMBER,RICO NOTOSAGORO,MERK,MERCK TBK
MEMBER,SWANDAYANI HALIM,MERK,MERCK TBK
HEAD,JOHNY LUMINTANG,META,NUSANTARA INFRASTRUCTURE TBK
MEMBER,TAVIP SANTOSO,META,NUSANTARA INFRASTRUCTURE TBK
MEMBER,TUFRIDA MURNIATI HASYIM,META,NUSANTARA INFRASTRUCTURE TBK
HEAD,RIZAL BAMBANG PRASETIJO,MFIN,PT MANDALA MULTIFINANCE TBK
MEMBER,SELVY MONALISA,MFIN,PT MANDALA MULTIFINANCE TBK
MEMBER,I NYOMAN WIDIA,MFIN,PT MANDALA MULTIFINANCE TBK
HEAD,PATRICIA MARINA SUGONDO,MFMI,MULTIFILING MITRA INDONESIA TBK
MEMBER,PURNAMA SETIAWAN,MFMI,MULTIFILING MITRA INDONESIA TBK
MEMBER,EMMANUEL BAMBANG SUYITNO,MFMI,MULTIFILING MITRA INDONESIA TBK
HEAD,LELY ISKANDAR,MGLV,PT PANCA ANUGRAH WISESA TBK
MEMBER,JENNY ROHANI P,MGLV,PT PANCA ANUGRAH WISESA TBK
MEMBER,M TOHIR,MGLV,PT PANCA ANUGRAH WISESA TBK
HEAD,HARRY KURNIAWAN,MGRO,PT MAHKOTA GROUP TBK
MEMBER,AGUSTINUS NICKO ARIWIBOWO,MGRO,PT MAHKOTA GROUP TBK
MEMBER,PARAMESHWARA,MGRO,PT MAHKOTA GROUP TBK
HEAD,TEDDY SYARIEF NATAWIDJAJA,MICE,MULTI INDOCITRA TBK
MEMBER,MATHEUS POLUSTO SALBRI,MICE,MULTI INDOCITRA TBK
MEMBER,WIDYA MANDASARI,MICE,MULTI INDOCITRA TBK
HEAD,EDDY SUPARDI,MIDI,MIDI UTAMA INDONESIA TBK
MEMBER,EDWIN SUTANTO,MIDI,MIDI UTAMA INDONESIA TBK
MEMBER,DAVINA KESUMAWATI,MIDI,MIDI UTAMA INDONESIA TBK
HEAD,I GUSTI GEDE SUBAWA,MIKA,PT MITRA KELUARGA KARYASEHAT TBK
MEMBER,KURNIAWAN SUHARTONO,MIKA,PT MITRA KELUARGA KARYASEHAT TBK
MEMBER,HERMAN WIDJAJA,MIKA,PT MITRA KELUARGA KARYASEHAT TBK
HEAD,DJONI SUYANTO,MINA,PT SANURHASTA MITRA TBK
MEMBER,RICARDO SUHENDRA WIRJAWAN,MINA,PT SANURHASTA MITRA TBK
MEMBER,BULAN LASTIAR SIAHAAN,MINA,PT SANURHASTA MITRA TBK
HEAD,HUDA NARDONO,MIRA,MITRA INTERNATIONAL RESOURCES TBK
MEMBER,SILVIANA,MIRA,MITRA INTERNATIONAL RESOURCES TBK
MEMBER,SHANDY TANAMAS DHIRA,MIRA,MITRA INTERNATIONAL RESOURCES TBK
HEAD,DIAH PERTIWI GANDHI,MITI,MITRA INVESTINDO TBK
MEMBER,JULI SINAGA,MITI,MITRA INVESTINDO TBK
MEMBER,STEFANUS GINTING,MITI,MITRA INVESTINDO TBK
HEAD,ARIESMAN AULY,MKPI,METROPOLITAN KENTJANA TBK
MEMBER,LANNY BAMBANG,MKPI,METROPOLITAN KENTJANA TBK
MEMBER,SUTEDJA,MKPI,METROPOLITAN KENTJANA TBK
MEMBER,SUSANNA,MKPI,METROPOLITAN KENTJANA TBK
HEAD,CLAYTON ALLEN WENAS,MLBI,MULTI BINTANG INDONESIA TBK
MEMBER,FRANKY JAMIN,MLBI,MULTI BINTANG INDONESIA TBK
MEMBER,SETIAWAN KRISWANTO,MLBI,MULTI BINTANG INDONESIA TBK
HEAD,OSMAN SITORUS,MLIA,MULIA INDUSTRINDO TBK
MEMBER,TITUS HARYANTO,MLIA,MULIA INDUSTRINDO TBK
MEMBER,DENYANTO TJAHJADI,MLIA,MULIA INDUSTRINDO TBK
HEAD,ALEXANDER RUSLI,MLPL,MULTIPOLAR TBK
MEMBER,CHRISTINE TANUJAYA,MLPL,MULTIPOLAR TBK
MEMBER,MARLIN,MLPL,MULTIPOLAR TBK
HEAD,HARIJONO SUWARNO,MLPT,PT MULTIPOLAR TECHNOLOGY TBK
MEMBER,JOHANES JANY,MLPT,PT MULTIPOLAR TECHNOLOGY TBK
MEMBER,CHRISTINE,MLPT,PT MULTIPOLAR TECHNOLOGY TBK
HEAD,HO KEE SIN,MMLP,PT MEGA MANUNGGAL PROPERTY TBK
MEMBER,PAULUS RIDWAN PURAWINATA,MMLP,PT MEGA MANUNGGAL PROPERTY TBK
MEMBER,HERBUDIANTO,MMLP,PT MEGA MANUNGGAL PROPERTY TBK
HEAD,JOEL RICHARD HOGARTH,MNCN,MEDIA NUSANTARA CITRA TBK
MEMBER,AGUS MULYANTO,MNCN,MEDIA NUSANTARA CITRA TBK
MEMBER,BETI PUSPITASARI SANTOSO,MNCN,MEDIA NUSANTARA CITRA TBK
HEAD,KARTADJAJA INTAN,MOLI,PT MADUSARI MURNI INDAH TBK
MEMBER,AGUS YUBAGYO,MOLI,PT MADUSARI MURNI INDAH TBK
MEMBER,AGUSTINA FELICIA,MOLI,PT MADUSARI MURNI INDAH TBK
HEAD,KANAKA PURADIREDJA,MORA,PT MORA TELEMATIKA INDONESIA TBK
MEMBER,MULYADI,MORA,PT MORA TELEMATIKA INDONESIA TBK
MEMBER,NENDEN PURWITASARI,MORA,PT MORA TELEMATIKA INDONESIA TBK
HEAD,BENNY REDJO SETYONO,MPMX,PT MITRA PINASTHIKA MUSTIKA TBK
MEMBER,ARIA KANAKA,MPMX,PT MITRA PINASTHIKA MUSTIKA TBK
MEMBER,YOSAPHAT BUDISATYAWIRA,MPMX,PT MITRA PINASTHIKA MUSTIKA TBK
HEAD,TAN HON YIK,MPOW,PT MEGAPOWER MAKMUR TBK
MEMBER,BELINA CANDRA,MPOW,PT MEGAPOWER MAKMUR TBK
MEMBER,DAVID TJAHJADI,MPOW,PT MEGAPOWER MAKMUR TBK
HEAD,JOHAN ANTHONY,MPPA,MATAHARI PUTRA PRIMA TBK
MEMBER,MARLIN,MPPA,MATAHARI PUTRA PRIMA TBK
MEMBER,CHRISTINE,MPPA,MATAHARI PUTRA PRIMA TBK
HEAD,DAI BACHTIAR,MPRO,PT MAHA PROPERTI INDONESIA TBK
MEMBER,LO FI LING,MPRO,PT MAHA PROPERTI INDONESIA TBK
MEMBER,BERNIKA INDAH AGUSTINA,MPRO,PT MAHA PROPERTI INDONESIA TBK
HEAD,FG WINARNO,MRAT,MUSTIKA RATU TBK
MEMBER,AGUS PURNOMO,MRAT,MUSTIKA RATU TBK
HEAD,HARDJONO,MREI,MASKAPAI REASURANSI INDONESIA TBK
MEMBER,JACOB SAMUEL MATULLESYA,MREI,MASKAPAI REASURANSI INDONESIA TBK
MEMBER,T ALEXANDER A AMZUL,MREI,MASKAPAI REASURANSI INDONESIA TBK
HEAD,ANDRY WISNU TRIYUDANTO,MSIN,PT MNC DIGITAL ENTERTAINMENT TBK
MEMBER,AGUS MULYANTO,MSIN,PT MNC DIGITAL ENTERTAINMENT TBK
MEMBER,BETI PUSPITASARI SANTOSO,MSIN,PT MNC DIGITAL ENTERTAINMENT TBK
HEAD,JONATHAN CHANDRA,MSKY,MNC SKY VISION TBK
MEMBER,BETI PUSPITASARI SANTOSO,MSKY,MNC SKY VISION TBK
MEMBER,MOHAMED IDWAN GANIE,MSKY,MNC SKY VISION TBK
HEAD,TANAN HERWANDI ANTONIUS,MTDL,METRODATA ELECTRONICS TBK
MEMBER,HASAN,MTDL,METRODATA ELECTRONICS TBK
MEMBER,MERRY HARTONO,MTDL,METRODATA ELECTRONICS TBK
HEAD,GUNAWAN SUSANTO,MTEL,PT DAYAMITRA TELEKOMUNIKASI TBK
MEMBER,SARIMIN MIETRA SARDI,MTEL,PT DAYAMITRA TELEKOMUNIKASI TBK
MEMBER,MUCHAMAD NOOR HIDAYAT,MTEL,PT DAYAMITRA TELEKOMUNIKASI TBK
HEAD,THOMAS JOHANNES ANGFENDY,MTLA,METROPOLITAN LAND TBK
MEMBER,R PANDU GUNANDITO,MTLA,METROPOLITAN LAND TBK
MEMBER,SARTONO NGADIMIN,MTLA,METROPOLITAN LAND TBK
HEAD,ANDI WAHYUNINGSIH ATTAS,MTMH,PT MURNI SADAR TBK
MEMBER,ADE IKHWAN,MTMH,PT MURNI SADAR TBK
MEMBER,NG WENG SENG,MTMH,PT MURNI SADAR TBK
HEAD,NAWI,MTPS,PT META EPSI TBK
MEMBER,AGUS SAN NJOTO,MTPS,PT META EPSI TBK
MEMBER,DARWIN WIJAYA,MTPS,PT META EPSI TBK
HEAD,RAMLI YANG LIE,MTSM,METRO REALTY TBK
MEMBER,HICE TJUN TJEN,MTSM,METRO REALTY TBK
MEMBER,ANTON A,MTSM,METRO REALTY TBK
HEAD,HERMAN R SOETISNA,MYOH,SAMINDO RESOURCES TBK
MEMBER,SJAFARDAMSAH,MYOH,SAMINDO RESOURCES TBK
MEMBER,MICHELLE REGINA BERNARDI,MYOH,SAMINDO RESOURCES TBK
HEAD,SURYANTO GUNAWAN,MYOR,MAYORA INDAH TBK
MEMBER,BUDIONO DJUANDI,MYOR,MAYORA INDAH TBK
MEMBER,ANTONIUS WIRAWAN,MYOR,MAYORA INDAH TBK
HEAD,SINTONG PANJAITAN,MYTX,PT ASIA PACIFIC INVESTAMA TBK
MEMBER,RAKIYO WIBOWO,MYTX,PT ASIA PACIFIC INVESTAMA TBK
MEMBER,GATOT HIDAYAT,MYTX,PT ASIA PACIFIC INVESTAMA TBK
HEAD,MARSELLINO,NASA,PT ANDALAN PERKASA ABADI TBK
MEMBER,PRASASTIWI KINANTI SYAMSIDAR HAMI,NASA,PT ANDALAN PERKASA ABADI TBK
MEMBER,FAUZI SETYO FENDHIO,NASA,PT ANDALAN PERKASA ABADI TBK
HEAD,HOTRIN TUA SITUMORANG,NATO,PT SURYA PERMATA ANDALAN TBK
MEMBER,RIZKI SANDRA,NATO,PT SURYA PERMATA ANDALAN TBK
MEMBER,SUCINTINI MATANIPUTTA,NATO,PT SURYA PERMATA ANDALAN TBK
HEAD,AMIRUDDIN ARRIS,NELY,PELAYARAN NELLY DWI PUTRI TBK
MEMBER,SITI NURWAHYU HARAHAP,NELY,PELAYARAN NELLY DWI PUTRI TBK
MEMBER,ERWIN KURNIA WINENDASH,NELY,PELAYARAN NELLY DWI PUTRI TBK
HEAD,SISKA PRATIWI,NFCX,PT NFC INDONESIA TBK
MEMBER,ANITA THERESSIA,NFCX,PT NFC INDONESIA TBK
MEMBER,NI NYOMAN DIANA PURNAMA SARI,NFCX,PT NFC INDONESIA TBK
HEAD,FANDY WIJAYA,NICK,PT CHARNIC CAPITAL TBK
MEMBER,INGGRID FELICIANY,NICK,PT CHARNIC CAPITAL TBK
MEMBER,SRI GUSTINA HASIBUAN,NICK,PT CHARNIC CAPITAL TBK
HEAD,YAMIN DHARMAWAN,NICL,PT PAM MINERAL TBK
MEMBER,STEVEN HARTANTO,NICL,PT PAM MINERAL TBK
MEMBER,PENNY HALIM,NICL,PT PAM MINERAL TBK
HEAD,RIEFKY YUSWANDI,NIKL,PELAT TIMAH NUSANTARA TBK
MEMBER,R HARIS SETIJOSASONO,NIKL,PELAT TIMAH NUSANTARA TBK
MEMBER,YOSEF DANIANTA KURNIAWAN,NIKL,PELAT TIMAH NUSANTARA TBK
HEAD,PINGKI ELKA PANGESTU,NIRO,CITY RETAIL DEVELOPMENTS TBK
MEMBER,AGUS RAJANI PANJAITAN,NIRO,CITY RETAIL DEVELOPMENTS TBK
MEMBER,WITO,NIRO,CITY RETAIL DEVELOPMENTS TBK
HEAD,BETTI S ALISJAHBANA,NISP,PT BANK OCBC NISP TBK
MEMBER,ANGELINE NANGOI,NISP,PT BANK OCBC NISP TBK
MEMBER,ANTONY KURNIAWAN,NISP,PT BANK OCBC NISP TBK
MEMBER,LIOE FEI LING,NISP,PT BANK OCBC NISP TBK
HEAD,ADRIANUS MOOY,NOBU,PT BANK NATIONALNOBU TBK
MEMBER,DEWI PANDAMSARI,NOBU,PT BANK NATIONALNOBU TBK
MEMBER,TJINDRASA NG,NOBU,PT BANK NATIONALNOBU TBK
MEMBER,I NYOMAN TJAGER,NOBU,PT BANK NATIONALNOBU TBK
MEMBER,KRISTIANA HARDIYATI,NOBU,PT BANK NATIONALNOBU TBK
HEAD,AGUS SUSANTO,NPGF,PT NUSA PALAPA GEMILANG TBK
MEMBER,YUDI KOSWINARKO,NPGF,PT NUSA PALAPA GEMILANG TBK
MEMBER,TIARA DEWI FORTUNA,NPGF,PT NUSA PALAPA GEMILANG TBK
HEAD,HERMAN GUNADI,NRCA,PT NUSA RAYA CIPTA TBK
